,match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,event
44,1415725,2024,2024-06-12,ICC Men's T20 World Cup,United States Of America,India,India,field,India,"Nassau County International Cricket Stadium, New York",1,0,0,1,0,0,1,3,0,1,0,33,3,5,T20I
59,1415719,2024,2024-06-09,ICC Men's T20 World Cup,Pakistan,India,Pakistan,field,India,"Nassau County International Cricket Stadium, New York",12,3,25,1,0,0,1,3,0,1,0,33,2,5,T20I
87,1415708,2024,2024-06-05,ICC Men's T20 World Cup,Ireland,India,India,field,India,"Nassau County International Cricket Stadium, New York",8,0,0,1,0,0,2,3,0,1,0,33,2,5,T20I
523,1389398,2024,2024-01-17,Afghanistan tour of India,India,Afghanistan,India,bat,India,"M Chinnaswamy Stadium, Bengaluru",7,7,100,1,1,100,5,1,1,0,20,0,5,5,T20I
534,1389397,2024,2024-01-14,Afghanistan tour of India,India,Afghanistan,India,field,India,"Holkar Cricket Stadium, Indore",7,7,100,1,1,100,1,1,1,0,100,0,5,5,T20I
546,1389396,2024,2024-01-11,Afghanistan tour of India,India,Afghanistan,India,field,India,"Punjab Cricket Association Stadium, Mohali, Chandigarh",7,7,100,1,1,100,3,1,1,0,33,0,5,5,T20I
600,1387599,2023,2023-12-14,India tour of South Africa,South Africa,India,South Africa,field,India,"The Wanderers Stadium, Johannesburg",25,11,44,2,0,0,6,2,0,2,0,100,4,5,T20I
603,1387598,2023,2023-12-12,India tour of South Africa,South Africa,India,South Africa,field,South Africa,"St George'S Park, Port Elizabeth, Gqeberha",25,11,44,1,1,100,3,1,1,0,33,0,4,5,T20I
612,1389395,2023,2023-12-03,Australia tour of India,India,Australia,Australia,field,India,"M Chinnaswamy Stadium, Bengaluru",30,19,63,2,1,50,5,3,1,1,20,33,5,5,T20I
613,1389394,2023,2023-12-01,Australia tour of India,India,Australia,Australia,field,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",30,19,63,1,1,100,1,1,1,0,100,0,5,5,T20I
