Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
12452,1123902,2017,2017-11-27,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Thailand,United Arab Emirates,Thailand,bat,Thailand,"Terdthai Cricket Ground, Bangkok"
12453,1123901,2017,2017-11-27,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Nepal,Hong Kong,Hong Kong,field,Nepal,"Terdthai Cricket Ground, Bangkok"
12458,1123898,2017,2017-11-26,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Nepal,China,China,field,Nepal,"Asian Institute of Technology Ground, Bangkok"
12459,1123899,2017,2017-11-26,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,United Arab Emirates,Malaysia,United Arab Emirates,bat,United Arab Emirates,"Terdthai Cricket Ground, Bangkok"
12460,1123900,2017,2017-11-26,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Hong Kong,Thailand,Thailand,field,Thailand,"Terdthai Cricket Ground, Bangkok"
12470,1121068,2017,2017-11-24,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,China,Thailand,Thailand,field,Thailand,"Terdthai Cricket Ground, Bangkok"
12471,1121067,2017,2017-11-24,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Hong Kong,United Arab Emirates,Hong Kong,bat,United Arab Emirates,"Asian Institute of Technology Ground, Bangkok"
12472,1121066,2017,2017-11-24,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Nepal,Malaysia,Malaysia,field,Nepal,"Asian Institute of Technology Ground, Bangkok"
12473,1121064,2017,2017-11-23,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,United Arab Emirates,Nepal,United Arab Emirates,bat,United Arab Emirates,"Asian Institute of Technology Ground, Bangkok"
12474,1121063,2017,2017-11-23,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Hong Kong,China,Hong Kong,bat,Hong Kong,"Asian Institute of Technology Ground, Bangkok"
12477,1121062,2017,2017-11-21,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,United Arab Emirates,Thailand,Thailand,field,Thailand,"Terdthai Cricket Ground, Bangkok"
12478,1121060,2017,2017-11-21,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,China,Malaysia,China,bat,Malaysia,"Asian Institute of Technology Ground, Bangkok"
12482,1121057,2017,2017-11-20,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Hong Kong,Malaysia,Hong Kong,bat,Hong Kong,"Asian Institute of Technology Ground, Bangkok"
12484,1121059,2017,2017-11-20,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,Thailand,Nepal,Nepal,field,no result,"Terdthai Cricket Ground, Bangkok"
12485,1121058,2017,2017-11-20,ICC Women's World Twenty20 Qualifying Series Asia Region,female,IT20,United Arab Emirates,China,United Arab Emirates,bat,United Arab Emirates,"Terdthai Cricket Ground, Bangkok"
12596,1120539,2017,2017-09-16,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Zimbabwe,Uganda,Zimbabwe,bat,Uganda,"Affies Park, Windhoek"
12598,1120538,2017,2017-09-15,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Kenya,Uganda,Uganda,field,Uganda,"Wanderers Cricket Ground, Windhoek"
12604,1120537,2017,2017-09-15,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Tanzania,Namibia,Namibia,field,Namibia,"Wanderers Cricket Ground, Windhoek"
12608,1118925,2017,2017-09-13,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Zimbabwe,Uganda,Uganda,field,Zimbabwe,"Wanderers Cricket Ground, Windhoek"
12609,1118924,2017,2017-09-13,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Kenya,Namibia,Namibia,field,Kenya,"Wanderers Cricket Ground, Windhoek"
12612,1118923,2017,2017-09-12,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Tanzania,Namibia,Tanzania,bat,Namibia,"Wanderers Cricket Ground, Windhoek"
12613,1118922,2017,2017-09-12,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Zimbabwe,Kenya,Kenya,field,Zimbabwe,"Wanderers Cricket Ground, Windhoek"
12615,1118920,2017,2017-09-10,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Kenya,Uganda,Uganda,field,Uganda,"Wanderers Cricket Ground, Windhoek"
12616,1118918,2017,2017-09-09,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Tanzania,Uganda,Tanzania,bat,Uganda,"Wanderers Cricket Ground, Windhoek"
12619,1118919,2017,2017-09-09,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Namibia,Zimbabwe,Namibia,bat,Zimbabwe,"Wanderers Cricket Ground, Windhoek"
12623,1118916,2017,2017-09-08,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Uganda,Namibia,Namibia,field,Uganda,"Wanderers Cricket Ground, Windhoek"
12624,1118917,2017,2017-09-08,ICC Women's World Twenty20 Qualifying Series Africa Region,female,IT20,Tanzania,Kenya,Kenya,field,Kenya,"Wanderers Cricket Ground, Windhoek"
12698,1116061,2017,2017-08-19,ICC Women's World Twenty20 Qualifying Series European-Americas Region,female,IT20,Netherlands,Scotland,Scotland,field,Netherlands,"New Williamfield No1 Oval, Stirling"
12700,1116060,2017,2017-08-19,ICC Women's World Twenty20 Qualifying Series European-Americas Region,female,IT20,Netherlands,United States of America,United States of America,field,Netherlands,"New Williamfield No1 Oval, Stirling"
12719,1116056,2017,2017-08-15,ICC Women's World Twenty20 Qualifying Series European-Americas Region,female,IT20,Netherlands,Scotland,Scotland,field,Scotland,"New Williamfield No1 Oval, Stirling"
13078,1090896,2017,2017-05-04,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Japan,Japan,field,Japan,"Sano International Cricket Ground, Sano"
13079,1090895,2017,2017-05-04,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Samoa,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Sano International Cricket Ground, Sano"
13082,1090894,2017,2017-05-03,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Samoa,Samoa,field,Samoa,"Sano International Cricket Ground, Sano"
13087,1090891,2017,2017-05-02,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Japan,Samoa,Samoa,field,Samoa,"Sano International Cricket Ground, Sano"
13092,1090892,2017,2017-05-02,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Vanuatu,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,"Sano International Cricket Ground, Sano"
13102,1090889,2017,2017-05-01,ICC Women's World Twenty20 Qualifying Series East Asia-Pacific Region,female,IT20,Samoa,Vanuatu,Vanuatu,field,Samoa,"Sano International Cricket Ground, Sano"
