match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1436887,2024,2024-06-18,West Indies Women tour of Sri Lanka,West Indies,Sri Lanka,West Indies,bat,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",6,3,50,2,0,0,2,2,0,2,0,100,3,2
1434287,2024,2024-06-16,South Africa Women tour of India,South Africa,India,India,bat,India,"M Chinnaswamy Stadium, Bengaluru",18,8,44,1,0,0,1,3,0,1,0,33,2,1
1436886,2024,2024-06-15,West Indies Women tour of Sri Lanka,West Indies,Sri Lanka,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",6,3,50,2,0,0,2,2,0,2,0,100,3,2
1398273,2024,2024-05-29,Pakistan Women tour of England,Pakistan,England,England,bat,England,"County Ground, Chelmsford",11,0,0,1,0,0,1,2,0,1,0,50,1,4
1398271,2024,2024-05-23,Pakistan Women tour of England,Pakistan,England,Pakistan,field,England,"County Ground, Derby",11,0,0,1,0,0,2,5,0,1,0,20,1,4
1426083,2024,2024-04-23,West Indies Women tour of Pakistan,West Indies,Pakistan,West Indies,bat,West Indies,"National Stadium, Karachi",15,11,73,6,6,100,6,9,6,0,100,0,3,1
1426082,2024,2024-04-21,West Indies Women tour of Pakistan,West Indies,Pakistan,Pakistan,bat,West Indies,"National Stadium, Karachi",15,11,73,6,6,100,6,9,6,0,100,0,3,1
1426081,2024,2024-04-18,West Indies Women tour of Pakistan,West Indies,Pakistan,West Indies,bat,West Indies,"National Stadium, Karachi",15,11,73,6,6,100,6,9,6,0,100,0,2,1
1398267,2024,2024-04-17,Sri Lanka Women tour of South Africa,Sri Lanka,South Africa,Sri Lanka,field,Sri Lanka,"Senwes Park, Potchefstroom",10,2,20,5,1,20,5,5,1,4,20,80,2,2
1427425,2024,2024-04-14,UAE Women's ODI Tri-Series,Scotland,United States Of America,Scotland,bat,Scotland,"Icc Global Cricket Academy, Dubai",1,1,100,1,1,100,2,1,1,0,50,0,2,0
1398266,2024,2024-04-13,Sri Lanka Women tour of South Africa,Sri Lanka,South Africa,South Africa,field,South Africa,"Diamond Oval, Kimberley",10,2,20,1,0,0,1,1,0,1,0,100,2,3
1427424,2024,2024-04-12,UAE Women's ODI Tri-Series,Scotland,Papua New Guinea,Papua New Guinea,field,Scotland,"Icc Global Cricket Academy, Dubai",1,1,100,1,1,100,2,2,1,0,50,0,1,1
1427423,2024,2024-04-11,UAE Women's ODI Tri-Series,United States Of America,Papua New Guinea,United States of America,bat,Papua New Guinea,"Icc Global Cricket Academy, Dubai",1,0,0,1,0,0,1,2,0,1,0,50,0,0
1388209,2024,2024-04-07,England Women tour of New Zealand,New Zealand,England,England,bat,New Zealand,"Seddon Park, Hamilton",18,4,22,2,1,50,4,2,1,1,25,50,2,5
1388208,2024,2024-04-04,England Women tour of New Zealand,New Zealand,England,England,bat,England,"Seddon Park, Hamilton",18,4,22,2,1,50,4,2,1,1,25,50,3,4
1388207,2024,2024-04-01,England Women tour of New Zealand,New Zealand,England,England,field,England,"Basin Reserve, Wellington",18,4,22,1,0,0,3,1,0,1,0,100,3,4
1426047,2024,2024-03-28,Papua New Guinea Women tour of Zimbabwe,Zimbabwe,Papua New Guinea,Papua New Guinea,field,Zimbabwe,"Harare Sports Club, Harare",2,2,100,2,2,100,8,2,2,0,25,0,1,0
1425063,2024,2024-03-27,Australia Women tour of Bangladesh,Bangladesh,Australia,Australia,field,Australia,"Shere Bangla National Stadium, Mirpur, Dhaka",4,0,0,3,0,0,3,3,0,3,0,100,1,4
1426046,2024,2024-03-26,Papua New Guinea Women tour of Zimbabwe,Zimbabwe,Papua New Guinea,Zimbabwe,field,Zimbabwe,"Harare Sports Club, Harare",2,2,100,2,2,100,8,2,2,0,25,0,0,0
1425062,2024,2024-03-24,Australia Women tour of Bangladesh,Bangladesh,Australia,Bangladesh,bat,Australia,"Shere Bangla National Stadium, Mirpur, Dhaka",4,0,0,3,0,0,3,3,0,3,0,100,2,4
1425061,2024,2024-03-21,Australia Women tour of Bangladesh,Bangladesh,Australia,Bangladesh,field,Australia,"Shere Bangla National Stadium, Mirpur, Dhaka",4,0,0,3,0,0,3,3,0,3,0,100,3,4
1375874,2024,2024-02-10,South Africa Women tour of Australia,South Africa,Australia,Australia,bat,Australia,"North Sydney Oval, Sydney",8,1,12,2,1,50,2,5,1,1,50,20,3,4
1375873,2024,2024-02-07,South Africa Women tour of Australia,South Africa,Australia,Australia,field,South Africa,"North Sydney Oval, Sydney",8,1,12,2,1,50,2,5,1,1,50,20,3,5
1375872,2024,2024-02-03,South Africa Women tour of Australia,South Africa,Australia,Australia,field,Australia,"Adelaide Oval, Adelaide",8,1,12,1,0,0,1,1,0,1,0,100,3,5
1415982,2024,2024-01-23,Ireland Women tour of Zimbabwe,Zimbabwe,Ireland,Zimbabwe,field,Ireland,"Harare Sports Club, Harare",6,1,17,6,1,16,8,6,1,5,12,83,0,3
1415980,2024,2024-01-18,Ireland Women tour of Zimbabwe,Zimbabwe,Ireland,Ireland,field,Ireland,"Harare Sports Club, Harare",6,1,17,6,1,16,8,6,1,5,12,83,0,2
1406080,2024,2024-01-02,Australia Women tour of India,India,Australia,Australia,bat,Australia,"Wankhede Stadium, Mumbai",12,3,25,3,0,0,6,3,0,3,0,100,1,5
1406079,2023,2023-12-30,Australia Women tour of India,India,Australia,Australia,bat,Australia,"Wankhede Stadium, Mumbai",12,3,25,3,0,0,6,3,0,3,0,100,2,5
1406078,2023,2023-12-28,Australia Women tour of India,India,Australia,India,bat,Australia,"Wankhede Stadium, Mumbai",12,3,25,3,0,0,6,3,0,3,0,100,3,4
1398260,2023,2023-12-23,Bangladesh Women tour of South Africa,South Africa,Bangladesh,South Africa,bat,South Africa,"Willowmoore Park, Benoni",14,13,93,2,2,100,3,2,2,0,66,0,2,1
1398259,2023,2023-12-20,Bangladesh Women tour of South Africa,South Africa,Bangladesh,South Africa,field,South Africa,"Senwes Park, Potchefstroom",14,13,93,3,3,100,13,3,3,0,23,0,3,2
1388201,2023,2023-12-18,Pakistan Women tour of New Zealand,Pakistan,New Zealand,New Zealand,bat,Pakistan,"Hagley Oval, Christchurch",11,2,18,3,1,33,4,4,1,2,25,50,1,2
1398258,2023,2023-12-16,Bangladesh Women tour of South Africa,South Africa,Bangladesh,South Africa,field,Bangladesh,"Buffalo Park, East London",14,13,93,1,0,0,1,1,0,1,0,100,3,3
1388200,2023,2023-12-15,Pakistan Women tour of New Zealand,Pakistan,New Zealand,New Zealand,field,New Zealand,"Hagley Oval, Christchurch",11,2,18,3,1,33,4,4,1,2,25,50,1,3
1388199,2023,2023-12-12,Pakistan Women tour of New Zealand,Pakistan,New Zealand,Pakistan,field,New Zealand,"John Davies Oval, Queenstown",11,2,18,1,0,0,1,1,0,1,0,100,1,3
1405126,2023,2023-11-10,Pakistan Women tour of Bangladesh,Pakistan,Bangladesh,Pakistan,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka",7,3,43,3,1,33,3,5,1,2,33,40,1,3
1405125,2023,2023-11-07,Pakistan Women tour of Bangladesh,Pakistan,Bangladesh,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka",7,3,43,3,1,33,3,5,1,2,33,40,2,3
1405124,2023,2023-11-04,Pakistan Women tour of Bangladesh,Pakistan,Bangladesh,Bangladesh,bat,Pakistan,"Shere Bangla National Stadium, Mirpur, Dhaka",7,3,43,3,1,33,3,5,1,2,33,40,2,3
1403685,2023,2023-10-21,Ireland Women v Scotland Women,Scotland,Ireland,Ireland,bat,Ireland,"Desert Springs Cricket Ground, Almeria",3,1,33,3,1,33,3,3,1,2,33,66,1,1
1403684,2023,2023-10-19,Ireland Women v Scotland Women,Scotland,Ireland,Ireland,bat,Ireland,"Desert Springs Cricket Ground, Almeria",3,1,33,3,1,33,3,3,1,2,33,66,1,0
1403683,2023,2023-10-17,Ireland Women v Scotland Women,Scotland,Ireland,Ireland,field,Scotland,"Desert Springs Cricket Ground, Almeria",3,1,33,3,1,33,3,3,1,2,33,66,0,0
1375868,2023,2023-10-14,West Indies Women tour of Australia,West Indies,Australia,Australia,field,Australia,"Junction Oval, Melbourne",12,0,0,1,0,0,1,4,0,1,0,25,2,4
1375866,2023,2023-10-08,West Indies Women tour of Australia,West Indies,Australia,Australia,field,Australia,"Allan Border Field, Brisbane",12,0,0,1,0,0,1,10,0,1,0,10,2,3
1392350,2023,2023-10-01,New Zealand Women tour of South Africa,South Africa,New Zealand,New Zealand,field,New Zealand,"Kingsmead, Durban",12,8,67,1,0,0,4,1,0,1,0,100,2,3
1392349,2023,2023-09-28,New Zealand Women tour of South Africa,South Africa,New Zealand,South Africa,field,South Africa,"City Oval, Pietermaritzburg",12,8,67,1,1,100,1,1,1,0,100,0,3,2
1392348,2023,2023-09-24,New Zealand Women tour of South Africa,South Africa,New Zealand,South Africa,field,South Africa,"Senwes Park, Potchefstroom",12,8,67,1,1,100,13,1,1,0,7,0,4,2
1382171,2023,2023-09-14,South Africa Women tour of Pakistan,South Africa,Pakistan,South Africa,bat,Pakistan,"National Stadium, Karachi",14,12,86,3,2,66,3,9,2,1,66,11,3,1
1336085,2023,2023-09-14,Sri Lanka Women tour of England,Sri Lanka,England,Sri Lanka,field,England,"Grace Road, Leicester",10,1,10,1,0,0,2,7,0,1,0,14,1,4
