match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
wi_212064,2022,CG United Women's Super50,CG United Women's Super50,2022-06-25,Jamaica,Barbados,Jamaica,bat,Barbados,0,0,0,100,2,2,"Guyana National Stadium, Providence"
wi_212063,2022,CG United Women's Super50,CG United Women's Super50,2022-06-24,Windward Islands,Leeward Islands,Windward Islands,bat,Windward Islands,100,100,100,0,0,0,"Guyana National Stadium, Providence"
wi_212062,2022,CG United Women's Super50,CG United Women's Super50,2022-06-23,Guyana,Jamaica,Jamaica,field,Jamaica,0,0,0,100,1,2,"Guyana National Stadium, Providence"
wi_212061,2022,CG United Women's Super50,CG United Women's Super50,2022-06-22,Barbados,Trinidad And Tobago,Trinidad and Tobago,bat,Barbados,100,100,100,0,2,1,"Guyana National Stadium, Providence"
wi_211979,2022,CG United Women's Super50,CG United Women's Super50,2022-06-21,Guyana,Leeward Islands,Leeward Islands,bat,Guyana,100,100,50,0,0,0,"Guyana National Stadium, Providence"
wi_211977,2022,CG United Women's Super50,CG United Women's Super50,2022-06-18,Jamaica,Barbados,Barbados,bat,Barbados,0,0,0,100,1,1,"Guyana National Stadium, Providence"
wi_211976,2022,CG United Women's Super50,CG United Women's Super50,2022-06-17,Trinidad And Tobago,Leeward Islands,Leeward Islands,bat,Trinidad And Tobago,100,100,100,0,1,0,"Guyana National Stadium, Providence"
wi_211973,2022,CG United Women's Super50,CG United Women's Super50,2022-06-20,Jamaica,Windward Islands,Jamaica,field,Jamaica,100,100,33,0,0,0,"Guyana National Stadium, Providence"
1462374,2025,ECB Women's One-Day Cup,ECB Women's One-Day Cup,2025-05-20,Somerset,The Blaze,The Blaze,field,The Blaze,0,0,0,50,3,4,"Haslegrave Ground, Loughborough"
1462373,2025,ECB Women's One-Day Cup,ECB Women's One-Day Cup,2025-05-19,Lancashire,Durham,Durham,field,Lancashire,100,100,100,0,3,2,"Stanley Park, Blackpool"
