match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1427829,2024,2024-05-08,Rachael Heyhoe Flint Trophy,Western Storm,The Blaze,The Blaze,field,The Blaze,"Trent Bridge, Nottingham",2,0,0,1,0,0,1,1,0,1,0,100,2,1
1427828,2024,2024-05-08,Rachael Heyhoe Flint Trophy,Thunder,Central Sparks,Thunder,bat,Central Sparks,"Old Trafford, Manchester",6,2,33,2,1,50,4,2,1,1,25,50,2,1
1427827,2024,2024-05-08,Rachael Heyhoe Flint Trophy,Sunrisers,Southern Vipers,Sunrisers,field,Sunrisers,"Radlett Cricket Club, Radlett",7,3,43,1,1,100,2,1,1,0,50,0,3,4
1427826,2024,2024-05-08,Rachael Heyhoe Flint Trophy,South East Stars,Northern Diamonds,Northern Diamonds,bat,Northern Diamonds,"Kent County Cricket Ground, Beckenham",4,0,0,2,0,0,5,2,0,2,0,100,4,3
1427825,2024,2024-05-06,Rachael Heyhoe Flint Trophy,The Blaze,Thunder,Thunder,field,Thunder,"Trent Bridge, Nottingham",1,0,0,1,0,0,2,1,0,1,0,100,1,2
1427824,2024,2024-05-04,Rachael Heyhoe Flint Trophy,Sunrisers,South East Stars,Sunrisers,bat,South East Stars,"County Ground, Northampton",7,0,0,1,0,0,1,1,0,1,0,100,4,4
1427823,2024,2024-05-04,Rachael Heyhoe Flint Trophy,Western Storm,Southern Vipers,Western Storm,field,Southern Vipers,"County Ground, Bristol",5,0,0,2,0,0,10,2,0,2,0,100,2,4
1427822,2024,2024-05-04,Rachael Heyhoe Flint Trophy,Northern Diamonds,Central Sparks,Northern Diamonds,bat,Northern Diamonds,"Edgbaston Foundation Community Sports Ground, Birmingham",7,3,43,1,1,100,1,7,1,0,100,0,3,1
1427821,2024,2024-05-01,Rachael Heyhoe Flint Trophy,Thunder,Southern Vipers,Southern Vipers,field,Southern Vipers,"Sir Paul Getty'S Ground, Wormsley",4,0,0,1,0,0,1,1,0,1,0,100,2,4
1427820,2024,2024-05-01,Rachael Heyhoe Flint Trophy,Western Storm,South East Stars,Western Storm,field,Western Storm,"The Cooper Associates County Ground, Taunton",6,3,50,1,1,100,5,1,1,0,20,0,1,3
1427819,2024,2024-05-01,Rachael Heyhoe Flint Trophy,Sunrisers,Central Sparks,Sunrisers,field,Sunrisers,"Chester Road North Ground, Kidderminster",4,2,50,1,1,100,1,1,1,0,100,0,4,2
1427818,2024,2024-05-01,Rachael Heyhoe Flint Trophy,The Blaze,Northern Diamonds,Northern Diamonds,bat,The Blaze,"North Marine Road Ground, Scarborough",3,3,100,1,1,100,1,2,1,0,100,0,1,2
1427817,2024,2024-04-27,Rachael Heyhoe Flint Trophy,Southern Vipers,Northern Diamonds,Northern Diamonds,field,Southern Vipers,"The Rose Bowl, Southampton",7,5,71,2,2,100,4,2,2,0,50,0,4,3
1427816,2024,2024-04-27,Rachael Heyhoe Flint Trophy,Western Storm,Thunder,Thunder,field,Western Storm,"Old Trafford, Manchester",5,4,80,3,2,66,3,3,2,1,66,33,0,2
1427815,2024,2024-04-27,Rachael Heyhoe Flint Trophy,The Blaze,Sunrisers,Sunrisers,field,Sunrisers,"County Ground, Chelmsford",3,1,33,2,1,50,2,4,1,1,50,25,1,3
1427814,2024,2024-04-27,Rachael Heyhoe Flint Trophy,South East Stars,Central Sparks,South East Stars,bat,South East Stars,"Kent County Cricket Ground, Beckenham",5,3,60,2,2,100,5,2,2,0,40,0,3,2
1427813,2024,2024-04-24,Rachael Heyhoe Flint Trophy,Southern Vipers,Central Sparks,Southern Vipers,field,Southern Vipers,"Sir Paul Getty'S Ground, Wormsley",5,3,60,2,2,100,2,2,2,0,100,0,4,2
1427812,2024,2024-04-24,Rachael Heyhoe Flint Trophy,Thunder,Sunrisers,Sunrisers,field,Thunder,"Old Trafford, Manchester",2,2,100,1,1,100,4,1,1,0,25,0,2,4
1427811,2024,2024-04-24,Rachael Heyhoe Flint Trophy,Western Storm,Northern Diamonds,Western Storm,field,Northern Diamonds,"Headingley, Leeds",5,0,0,2,0,0,2,6,0,2,0,33,0,4
1427810,2024,2024-04-24,Rachael Heyhoe Flint Trophy,The Blaze,South East Stars,The Blaze,bat,South East Stars,"Grace Road, Leicester",4,1,25,1,0,0,1,1,0,1,0,100,1,4
1427809,2024,2024-04-20,Rachael Heyhoe Flint Trophy,Western Storm,Sunrisers,Sunrisers,field,Sunrisers,"Sophia Gardens, Cardiff",7,5,71,1,0,0,2,1,0,1,0,100,1,4
1427808,2024,2024-04-20,Rachael Heyhoe Flint Trophy,Southern Vipers,South East Stars,South East Stars,field,South East Stars,"Kent County Cricket Ground, Beckenham",8,7,88,4,3,75,4,11,3,1,75,9,4,3
1427807,2024,2024-04-20,Rachael Heyhoe Flint Trophy,The Blaze,Central Sparks,Central Sparks,bat,Central Sparks,"Edgbaston Foundation Community Sports Ground, Birmingham",3,2,67,2,1,50,2,7,1,1,50,14,1,2
1427806,2024,2024-04-20,Rachael Heyhoe Flint Trophy,Thunder,Northern Diamonds,Northern Diamonds,field,Northern Diamonds,"Riverside Ground, Chester-Le-Street",7,1,14,2,0,0,2,5,0,2,0,40,2,3
1347460,2023,2023-09-24,Rachael Heyhoe Flint Trophy,The Blaze,Southern Vipers,Southern Vipers,field,Southern Vipers,"County Ground, Northampton",3,1,33,1,0,0,1,1,0,1,0,100,1,4
1347459,2023,2023-09-21,Rachael Heyhoe Flint Trophy,The Blaze,South East Stars,South East Stars,bat,The Blaze,"Kent County Cricket Ground, Beckenham",4,1,25,2,1,50,2,11,1,1,50,9,2,3
1347458,2023,2023-09-16,Rachael Heyhoe Flint Trophy,Sunrisers,Northern Diamonds,Sunrisers,field,Sunrisers,"Riverside Ground, Chester-Le-Street",4,1,25,1,1,100,1,5,1,0,100,0,4,2
1347457,2023,2023-09-16,Rachael Heyhoe Flint Trophy,The Blaze,Southern Vipers,The Blaze,field,Southern Vipers,"Haslegrave Ground, Loughborough",3,1,33,1,0,0,2,1,0,1,0,100,1,4
1347456,2023,2023-09-16,Rachael Heyhoe Flint Trophy,Western Storm,Thunder,Western Storm,bat,Thunder,"Old Trafford, Manchester",5,4,80,3,2,66,3,3,2,1,66,33,1,2
1347455,2023,2023-09-16,Rachael Heyhoe Flint Trophy,South East Stars,Central Sparks,Central Sparks,field,South East Stars,"Edgbaston Foundation Community Sports Ground, Birmingham",5,3,60,1,1,100,1,7,1,0,100,0,4,3
1347454,2023,2023-09-13,Rachael Heyhoe Flint Trophy,Western Storm,Central Sparks,Central Sparks,field,Central Sparks,"The Cooper Associates County Ground, Taunton",3,0,0,1,0,0,5,1,0,1,0,100,1,3
