match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
wi_211838,2022,T20 Blaze,T20I,2022-06-14,Windward Islands,Guyana,Guyana,field,Guyana,0,0,0,50,1,2,"Guyana National Stadium, Providence"
wi_211836,2022,T20 Blaze,T20I,2022-06-14,Jamaica,Leeward Islands,Jamaica,bat,Jamaica,100,100,16,0,3,0,"Guyana National Stadium, Providence"
wi_211835,2022,T20 Blaze,T20I,2022-06-13,Leeward Islands,Guyana,Guyana,bat,Guyana,0,0,0,25,0,1,"Guyana National Stadium, Providence"
wi_211834,2022,T20 Blaze,T20I,2022-06-13,Windward Islands,Trinidad And Tobago,Trinidad and Tobago,bat,Trinidad And Tobago,0,0,0,50,1,2,"Guyana National Stadium, Providence"
wi_211833,2022,T20 Blaze,T20I,2022-06-13,Jamaica,Barbados,Jamaica,field,Barbados,0,0,0,40,3,4,"Guyana National Stadium, Providence"
wi_211832,2022,T20 Blaze,T20I,2022-06-11,Leeward Islands,Trinidad And Tobago,Leeward Islands,field,Trinidad And Tobago,0,0,0,25,0,1,"Guyana National Stadium, Providence"
wi_211831,2022,T20 Blaze,T20I,2022-06-11,Jamaica,Guyana,Guyana,bat,Jamaica,100,100,16,0,2,1,"Guyana National Stadium, Providence"
wi_211830,2022,T20 Blaze,T20I,2022-06-11,Barbados,Windward Islands,Barbados,field,Barbados,100,100,100,0,4,1,"Guyana National Stadium, Providence"
wi_211829,2022,T20 Blaze,T20I,2022-06-09,Jamaica,Windward Islands,Windward Islands,field,Jamaica,100,100,16,0,1,1,"Guyana National Stadium, Providence"
wi_211828,2022,T20 Blaze,T20I,2022-06-09,Leeward Islands,Barbados,Barbados,field,Barbados,0,0,0,20,0,5,"Guyana National Stadium, Providence"
wi_211826,2022,T20 Blaze,T20I,2022-06-07,Jamaica,Trinidad And Tobago,Jamaica,bat,Jamaica,100,100,16,0,0,1,"Guyana National Stadium, Providence"
wi_211825,2022,T20 Blaze,T20I,2022-06-07,Guyana,Barbados,Barbados,bat,Barbados,0,0,0,40,2,5,"Guyana National Stadium, Providence"
wi_211824,2022,T20 Blaze,T20I,2022-06-07,Leeward Islands,Windward Islands,Windward Islands,field,Windward Islands,0,0,0,33,0,1,"Guyana National Stadium, Providence"
wi_201716,2019,Women's T20 Blaze,T20I,2019-04-03,Guyana,Barbados,Guyana,bat,Barbados,0,0,0,40,1,5,"Guyana National Stadium, Providence"
wi_201713,2019,Women's T20 Blaze,T20I,2019-04-02,Windward Islands,Guyana,Windward Islands,field,Guyana,0,0,0,50,1,1,"Guyana National Stadium, Providence"
wi_201707,2019,Women's T20 Blaze,T20I,2019-03-29,Jamaica,Barbados,Barbados,field,Barbados,0,0,0,40,0,4,"Guyana National Stadium, Providence"
wi_201706,2019,Women's T20 Blaze,T20I,2019-03-29,Windward Islands,Trinidad And Tobago,Windward Islands,bat,Trinidad And Tobago,0,0,0,50,1,0,"Guyana National Stadium, Providence"
993671,2016,Women's Cricket Super League,T20I,2016-08-14,Yorkshire Diamonds,Western Storm,Yorkshire Diamonds,bat,Western Storm,17,0,0,100,3,1,"Headingley, Leeds"
993669,2016,Women's Cricket Super League,T20I,2016-08-14,Southern Vipers,Loughborough Lightning,Southern Vipers,bat,Southern Vipers,57,33,11,66,4,5,"The Rose Bowl, Southampton"
993665,2016,Women's Cricket Super League,T20I,2016-08-12,Western Storm,Southern Vipers,Southern Vipers,bat,Western Storm,55,100,50,0,1,4,"County Ground, Taunton"
993663,2016,Women's Cricket Super League,Women's Cricket Super League,2016-08-12,Surrey Stars,Loughborough Lightning,Surrey Stars,field,Loughborough Lightning,29,0,0,30,0,5,"Haslegrave Ground, Loughborough"
993661,2016,Women's Cricket Super League,Women's Cricket Super League,2016-08-09,Surrey Stars,Lancashire Thunder,Surrey Stars,field,Surrey Stars,83,100,40,0,0,0,"Woodbridge Road, Guildford"
993659,2016,Women's Cricket Super League,T20I,2016-08-08,Yorkshire Diamonds,Southern Vipers,Southern Vipers,bat,Southern Vipers,33,0,0,27,2,3,"The Rose Bowl, Southampton"
993657,2016,Women's Cricket Super League,T20I,2016-08-07,Western Storm,Surrey Stars,Surrey Stars,bat,Western Storm,50,100,12,0,1,0,"County Ground, Bristol"
993655,2016,Women's Cricket Super League,T20I,2016-08-05,Western Storm,Loughborough Lightning,Loughborough Lightning,bat,Loughborough Lightning,71,50,50,10,1,4,"Haslegrave Ground, Loughborough"
993653,2016,Women's Cricket Super League,T20I,2016-08-05,Southern Vipers,Lancashire Thunder,Southern Vipers,bat,Southern Vipers,60,100,100,0,3,0,"Stanley Park, Blackpool"
993651,2016,Women's Cricket Super League,Women's Cricket Super League,2016-08-04,Yorkshire Diamonds,Surrey Stars,Yorkshire Diamonds,bat,Surrey Stars,40,0,0,50,2,0,"Kennington Oval, London"
993649,2016,Women's Cricket Super League,Women's Cricket Super League,2016-08-03,Loughborough Lightning,Lancashire Thunder,Loughborough Lightning,field,Lancashire Thunder,83,50,50,50,5,0,"Haslegrave Ground, Loughborough"
993647,2016,Women's Cricket Super League,T20I,2016-07-31,Western Storm,Lancashire Thunder,Lancashire Thunder,bat,Western Storm,100,100,50,0,1,0,"County Ground, Taunton"
993645,2016,Women's Cricket Super League,T20I,2016-07-31,Surrey Stars,Southern Vipers,Surrey Stars,bat,Southern Vipers,40,50,50,9,1,4,"The Rose Bowl, Southampton"
993643,2016,Women's Cricket Super League,Women's Cricket Super League,2016-07-30,Yorkshire Diamonds,Loughborough Lightning,Loughborough Lightning,bat,Loughborough Lightning,33,33,14,66,2,4,"Headingley, Leeds"
962023,2016,Bangladesh Women in Ireland T20I Series,T20I,2016-09-05,Ireland,Bangladesh,Bangladesh,field,Ireland,46,100,33,0,4,0,"Bready Cricket Club, Magheramason, Londonderry"
951419,2016,Women's World T20,T20I,2016-04-03,West Indies,Australia,Australia,bat,West Indies,17,100,100,0,3,5,"Eden Gardens, Kolkata"
951417,2016,Women's World T20,T20I,2016-03-31,West Indies,New Zealand,New Zealand,field,West Indies,23,100,100,0,4,2,"Wankhede Stadium, Mumbai"
951415,2016,Women's World T20,T20I,2016-03-30,England,Australia,England,field,Australia,42,0,0,33,2,4,"Feroz Shah Kotla, Delhi"
951413,2016,Women's World T20,T20I,2016-03-28,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,38,100,100,0,1,2,"M Chinnaswamy Stadium, Bengaluru"
951411,2016,Women's World T20,T20I,2016-03-27,Pakistan,England,England,bat,England,6,0,0,100,2,2,"Ma Chidambaram Stadium, Chepauk, Chennai"
951409,2016,Women's World T20,T20I,2016-03-27,West Indies,India,India,field,West Indies,15,100,100,0,3,3,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
951407,2016,Women's World T20,T20I,2016-03-26,South Africa,New Zealand,New Zealand,field,New Zealand,29,0,0,100,2,3,"M Chinnaswamy Stadium, Bengaluru"
951405,2016,Women's World T20,T20I,2016-03-26,Ireland,Australia,Australia,field,Australia,0,0,0,33,3,4,"Feroz Shah Kotla, Delhi"
951403,2016,Women's World T20,T20I,2016-03-24,Pakistan,Bangladesh,Bangladesh,bat,Pakistan,64,100,50,0,2,0,"Feroz Shah Kotla, Delhi"
951401,2016,Women's World T20,T20I,2016-03-24,Sri Lanka,Australia,Sri Lanka,bat,Australia,0,0,0,33,0,4,"Feroz Shah Kotla, Delhi"
951399,2016,Women's World T20,T20I,2016-03-24,West Indies,England,West Indies,bat,England,17,0,0,50,2,2,"Himachal Pradesh Cricket Association Stadium, Dharmasala"
951397,2016,Women's World T20,T20I,2016-03-23,South Africa,Ireland,South Africa,bat,South Africa,83,100,33,0,3,4,"Ma Chidambaram Stadium, Chepauk, Chennai"
951395,2016,Women's World T20,T20I,2016-03-22,India,England,England,field,England,24,0,0,50,3,3,"Himachal Pradesh Cricket Association Stadium, Dharmasala"
951393,2016,Women's World T20,T20I,2016-03-21,New Zealand,Australia,Australia,bat,New Zealand,23,100,100,0,2,4,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
951391,2016,Women's World T20,T20I,2016-03-20,Sri Lanka,Ireland,Sri Lanka,bat,Sri Lanka,67,100,100,0,1,3,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
951389,2016,Women's World T20,T20I,2016-03-20,West Indies,Bangladesh,West Indies,bat,West Indies,100,100,50,0,2,0,"Ma Chidambaram Stadium, Chepauk, Chennai"
951387,2016,Women's World T20,T20I,2016-03-19,Pakistan,India,Pakistan,field,Pakistan,23,100,50,0,2,3,"Feroz Shah Kotla, Delhi"
951385,2016,Women's World T20,T20I,2016-03-18,South Africa,Australia,South Africa,bat,Australia,25,0,0,50,3,4,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"
951383,2016,Women's World T20,T20I,2016-03-18,New Zealand,Ireland,New Zealand,bat,New Zealand,100,100,100,0,3,2,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
951381,2016,Women's World T20,T20I,2016-03-17,England,Bangladesh,England,bat,England,100,100,100,0,2,0,"M Chinnaswamy Stadium, Bengaluru"
951379,2016,Women's World T20,T20I,2016-03-16,West Indies,Pakistan,Pakistan,field,West Indies,80,100,50,0,3,2,"Ma Chidambaram Stadium, Chepauk, Chennai"
951377,2016,Women's World T20,T20I,2016-03-15,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,17,0,0,100,2,4,"Feroz Shah Kotla, Delhi"
951375,2016,Women's World T20,T20I,2016-03-15,India,Bangladesh,Bangladesh,field,India,81,100,100,0,3,1,"M Chinnaswamy Stadium, Bengaluru"
946555,2016,Pakistan Women in England T20I Series,T20I,2016-07-07,Pakistan,England,England,bat,England,6,0,0,12,2,3,"County Ground, Chelmsford"
946553,2016,Pakistan Women in England T20I Series,T20I,2016-07-05,Pakistan,England,England,bat,England,6,0,0,50,3,4,"The Rose Bowl, Southampton"
946551,2016,Pakistan Women in England T20I Series,T20I,2016-07-03,Pakistan,England,England,bat,England,6,0,0,33,2,4,"County Ground, Bristol"
923323,2015,Bangladesh Women in Pakistan T20I Series,T20I,2015-10-01,Pakistan,Bangladesh,Pakistan,bat,Pakistan,64,100,100,0,2,1,"Southend Club Cricket Stadium, Karachi"
923321,2015,Bangladesh Women in Pakistan T20I Series,T20I,2015-09-30,Pakistan,Bangladesh,Pakistan,bat,Pakistan,64,100,100,0,2,2,"Southend Club Cricket Stadium, Karachi"
907399,2016,West Indies Women in South Africa T20I Series,T20I,2016-03-09,West Indies,South Africa,South Africa,bat,South Africa,47,0,0,33,3,3,"Newlands, Cape Town"
907395,2016,West Indies Women in South Africa T20I Series,T20I,2016-03-04,West Indies,South Africa,South Africa,bat,South Africa,47,0,0,100,3,3,"Kingsmead, Durban"
907385,2016,England Women in South Africa T20I Series,T20I,2016-02-21,South Africa,England,England,field,England,16,0,0,100,4,4,"New Wanderers Stadium, Johannesburg"
907381,2016,England Women in South Africa T20I Series,T20I,2016-02-18,South Africa,England,South Africa,field,England,16,0,0,33,4,3,"Boland Bank Park, Paarl"
896549,2016,Women's Big Bash League,Women's Big Bash League,2016-01-22,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,bat,Sydney Sixers,94,100,50,0,2,3,"Melbourne Cricket Ground, Melbourne"
896547,2016,Women's Big Bash League,Women's Big Bash League,2016-01-21,Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Sydney Thunder,29,100,33,0,3,2,"Adelaide Oval, Adelaide"
