match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1438105,2024,2024-06-19,Hong Kong Women tour of Netherlands,Netherlands,Hong Kong,Netherlands,bat,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",4,4,100,4,4,100,8,4,4,0,50,0,5,1
1438104,2024,2024-06-19,Hong Kong Women tour of Netherlands,Netherlands,Hong Kong,Netherlands,field,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",4,4,100,4,4,100,8,4,4,0,50,0,4,2
1438101,2024,2024-06-19,Estonia Women tour of Cyprus,Estonia,Cyprus,Estonia,field,Cyprus,"Happy Valley Ground, Episkopi",3,0,0,3,0,0,3,3,0,3,0,100,0,2
1438103,2024,2024-06-18,Hong Kong Women tour of Netherlands,Netherlands,Hong Kong,Netherlands,field,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",4,4,100,4,4,100,8,4,4,0,50,0,4,2
1438099,2024,2024-06-18,Estonia Women tour of Cyprus,Estonia,Cyprus,Estonia,field,Cyprus,"Happy Valley Ground, Episkopi",3,0,0,3,0,0,3,3,0,3,0,100,0,1
1438102,2024,2024-06-17,Hong Kong Women tour of Netherlands,Netherlands,Hong Kong,Netherlands,bat,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",4,4,100,4,4,100,8,4,4,0,50,0,3,3
1438097,2024,2024-06-17,Estonia Women tour of Cyprus,Estonia,Cyprus,Estonia,bat,Cyprus,"Happy Valley Ground, Episkopi",3,0,0,3,0,0,3,3,0,3,0,100,0,0
1438095,2024,2024-06-16,Women Central Europe Cup,Gibraltar,Czech Republic,Gibraltar,bat,Gibraltar,"Scott Page Field, Vinor, Prague",2,2,100,2,2,100,4,2,2,0,50,0,4,0
1438094,2024,2024-06-16,Women Central Europe Cup,Gibraltar,Croatia,Croatia,bat,Gibraltar,"Scott Page Field, Vinor, Prague",2,1,50,2,1,50,4,4,1,1,25,25,4,3
1410543,2024,2024-06-16,Charlotte Edwards Cup,Southern Vipers,Central Sparks,Central Sparks,field,Central Sparks,"County Ground, New Road, Worcester",5,2,40,1,0,0,1,5,0,1,0,20,4,2
1410542,2024,2024-06-16,Charlotte Edwards Cup,Western Storm,Northern Diamonds,Western Storm,field,Northern Diamonds,"Headingley, Leeds",4,1,25,2,0,0,2,7,0,2,0,28,1,1
1410541,2024,2024-06-16,Charlotte Edwards Cup,The Blaze,South East Stars,The Blaze,bat,South East Stars,"County Ground, Derby",2,1,50,1,0,0,2,1,0,1,0,100,5,4
1438093,2024,2024-06-15,Women Central Europe Cup,Czech Republic,Croatia,Czech Republic,bat,Croatia,"Scott Page Field, Vinor, Prague",2,0,0,2,0,0,2,4,0,2,0,50,0,2
1438092,2024,2024-06-15,Women Central Europe Cup,Gibraltar,Croatia,Croatia,bat,Croatia,"Scott Page Field, Vinor, Prague",2,1,50,2,1,50,4,4,1,1,25,25,4,1
1410540,2024,2024-06-15,Charlotte Edwards Cup,Sunrisers,South East Stars,Sunrisers,field,South East Stars,"Kennington Oval, London",5,0,0,1,0,0,1,2,0,1,0,50,1,4
1438091,2024,2024-06-14,Women Central Europe Cup,Czech Republic,Croatia,Czech Republic,field,Croatia,"Scott Page Field, Vinor, Prague",2,0,0,2,0,0,2,4,0,2,0,50,0,0
1438090,2024,2024-06-14,Women Central Europe Cup,Gibraltar,Czech Republic,Czech Republic,field,Gibraltar,"Scott Page Field, Vinor, Prague",2,2,100,2,2,100,4,2,2,0,50,0,3,0
1410539,2024,2024-06-14,Charlotte Edwards Cup,Thunder,Central Sparks,Central Sparks,field,Central Sparks,"Edgbaston Foundation Community Sports Ground, Birmingham",3,2,67,1,0,0,1,8,0,1,0,12,2,2
1410538,2024,2024-06-14,Charlotte Edwards Cup,Southern Vipers,Northern Diamonds,Northern Diamonds,bat,Southern Vipers,"The Rose Bowl, Southampton",5,4,80,3,2,66,9,4,2,1,22,25,3,1
1410537,2024,2024-06-13,Charlotte Edwards Cup,The Blaze,Sunrisers,The Blaze,field,The Blaze,"Lord'S, London",2,2,100,1,1,100,1,1,1,0,100,0,5,1
1410535,2024,2024-06-09,Charlotte Edwards Cup,Thunder,Sunrisers,Sunrisers,bat,Thunder,"Stanley Park, Blackpool",3,3,100,1,1,100,3,1,1,0,33,0,1,2
1410534,2024,2024-06-09,Charlotte Edwards Cup,The Blaze,Northern Diamonds,Northern Diamonds,field,The Blaze,"Headingley, Leeds",3,3,100,1,1,100,1,7,1,0,100,0,5,1
1410533,2024,2024-06-09,Charlotte Edwards Cup,South East Stars,Central Sparks,South East Stars,bat,Central Sparks,"St Lawrence Ground, Canterbury",7,4,57,3,2,66,3,3,2,1,66,33,4,2
1410532,2024,2024-06-09,Charlotte Edwards Cup,Western Storm,Southern Vipers,Western Storm,field,Southern Vipers,"County Ground, Bristol",11,6,55,2,1,50,8,2,1,1,12,50,1,4
1435648,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,Rwanda,Nigeria,Nigeria,bat,Rwanda,"Gahanga B Ground, Rwanda, Kigali City",6,4,67,1,1,100,2,3,1,0,50,0,3,4
1435647,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,Kenya,Botswana,Botswana,field,Kenya,"Gahanga International Cricket Stadium, Rwanda, Kigali City",6,6,100,2,2,100,3,8,2,0,66,0,3,2
1435646,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,Malawi,Cameroon,Cameroon,bat,Malawi,"Gahanga B Ground, Rwanda, Kigali City",2,2,100,2,2,100,5,2,2,0,40,0,1,0
1410531,2024,2024-06-08,Charlotte Edwards Cup,Northern Diamonds,Central Sparks,Central Sparks,field,Northern Diamonds,"Edgbaston Foundation Community Sports Ground, Birmingham",3,2,67,2,2,100,2,8,2,0,100,0,1,3
1435645,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,Kenya,Botswana,Kenya,bat,Kenya,"Gahanga B Ground, Rwanda, Kigali City",6,6,100,1,1,100,2,2,1,0,50,0,3,2
1435644,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,Nigeria,Malawi,Malawi,field,Nigeria,"Gahanga B Ground, Rwanda, Kigali City",1,1,100,1,1,100,1,1,1,0,100,0,4,1
1435643,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,Uganda,Cameroon,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",1,1,100,1,1,100,8,4,1,0,12,0,5,0
1410530,2024,2024-06-07,Charlotte Edwards Cup,Thunder,Southern Vipers,Southern Vipers,field,Southern Vipers,"Old Trafford, Manchester",5,0,0,2,0,0,9,2,0,2,0,100,2,3
1410529,2024,2024-06-07,Charlotte Edwards Cup,Western Storm,The Blaze,Western Storm,bat,The Blaze,"Grace Road, Leicester",2,0,0,1,0,0,1,1,0,1,0,100,1,5
1410528,2024,2024-06-06,Charlotte Edwards Cup,Sunrisers,South East Stars,South East Stars,field,South East Stars,"Lord'S, London",5,0,0,2,0,0,2,2,0,2,0,100,2,5
1435640,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,Uganda,Rwanda,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City",5,5,100,3,3,100,8,3,3,0,37,0,4,3
1435639,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,Malawi,Botswana,Malawi,field,Botswana,"Gahanga B Ground, Rwanda, Kigali City",2,0,0,1,0,0,5,2,0,1,0,50,1,1
