,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
2,1438095,2024,2024-06-16,Women Central Europe Cup,female,T20,Gibraltar,Czech Republic,Gibraltar,bat,Gibraltar,"Scott Page Field, Vinor, Prague"
3,1438094,2024,2024-06-16,Women Central Europe Cup,female,T20,Croatia,Gibraltar,Croatia,bat,Gibraltar,"Scott Page Field, Vinor, Prague"
7,1434287,2024,2024-06-16,South Africa Women tour of India,female,ODI,India,South Africa,India,bat,India,"M Chinnaswamy Stadium, Bengaluru"
16,1410541,2024,2024-06-16,Charlotte Edwards Cup,female,T20,The Blaze,South East Stars,The Blaze,bat,South East Stars,"County Ground, Derby"
17,1410542,2024,2024-06-16,Charlotte Edwards Cup,female,T20,Northern Diamonds,Western Storm,Western Storm,field,Northern Diamonds,"Headingley, Leeds"
18,1410543,2024,2024-06-16,Charlotte Edwards Cup,female,T20,Southern Vipers,Central Sparks,Central Sparks,field,Central Sparks,"County Ground, New Road, Worcester"
25,1410540,2024,2024-06-15,Charlotte Edwards Cup,female,T20,South East Stars,Sunrisers,Sunrisers,field,South East Stars,"Kennington Oval, London"
28,1436886,2024,2024-06-15,West Indies Women tour of Sri Lanka,female,ODI,West Indies,Sri Lanka,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
30,1438092,2024,2024-06-15,Women Central Europe Cup,female,T20,Croatia,Gibraltar,Croatia,bat,Croatia,"Scott Page Field, Vinor, Prague"
31,1438093,2024,2024-06-15,Women Central Europe Cup,female,T20,Czech Republic,Croatia,Czech Republic,bat,Croatia,"Scott Page Field, Vinor, Prague"
36,1410539,2024,2024-06-14,Charlotte Edwards Cup,female,T20,Thunder,Central Sparks,Central Sparks,field,Central Sparks,"Edgbaston Foundation Community Sports Ground, Birmingham"
37,1410538,2024,2024-06-14,Charlotte Edwards Cup,female,T20,Northern Diamonds,Southern Vipers,Northern Diamonds,bat,Southern Vipers,"The Rose Bowl, Southampton"
41,1438091,2024,2024-06-14,Women Central Europe Cup,female,T20,Croatia,Czech Republic,Czech Republic,field,Croatia,"Scott Page Field, Vinor, Prague"
46,1438090,2024,2024-06-14,Women Central Europe Cup,female,T20,Gibraltar,Czech Republic,Czech Republic,field,Gibraltar,"Scott Page Field, Vinor, Prague"
52,1410537,2024,2024-06-13,Charlotte Edwards Cup,female,T20,Sunrisers,The Blaze,The Blaze,field,The Blaze,"Lord's, London"
72,1410533,2024,2024-06-09,Charlotte Edwards Cup,female,T20,South East Stars,Central Sparks,South East Stars,bat,Central Sparks,"St Lawrence Ground, Canterbury"
77,1410535,2024,2024-06-09,Charlotte Edwards Cup,female,T20,Sunrisers,Thunder,Sunrisers,bat,Thunder,"Stanley Park, Blackpool"
78,1410534,2024,2024-06-09,Charlotte Edwards Cup,female,T20,The Blaze,Northern Diamonds,Northern Diamonds,field,The Blaze,"Headingley, Leeds"
79,1410532,2024,2024-06-09,Charlotte Edwards Cup,female,T20,Southern Vipers,Western Storm,Western Storm,field,Southern Vipers,"County Ground, Bristol"
90,1435646,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,female,T20,Cameroon,Malawi,Cameroon,bat,Malawi,"Gahanga B Ground, Rwanda, Kigali City"
91,1435647,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,female,T20,Kenya,Botswana,Botswana,field,Kenya,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
92,1435648,2024,2024-06-08,Kwibuka Women's Twenty20 Tournament,female,T20,Nigeria,Rwanda,Nigeria,bat,Rwanda,"Gahanga B Ground, Rwanda, Kigali City"
93,1410531,2024,2024-06-08,Charlotte Edwards Cup,female,T20,Northern Diamonds,Central Sparks,Central Sparks,field,Northern Diamonds,"Edgbaston Foundation Community Sports Ground, Birmingham"
97,1435645,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,female,T20,Kenya,Botswana,Kenya,bat,Kenya,"Gahanga B Ground, Rwanda, Kigali City"
98,1410530,2024,2024-06-07,Charlotte Edwards Cup,female,T20,Thunder,Southern Vipers,Southern Vipers,field,Southern Vipers,"Old Trafford, Manchester"
99,1410529,2024,2024-06-07,Charlotte Edwards Cup,female,T20,Western Storm,The Blaze,Western Storm,bat,The Blaze,"Grace Road, Leicester"
107,1435643,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Cameroon,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
111,1435644,2024,2024-06-07,Kwibuka Women's Twenty20 Tournament,female,T20,Nigeria,Malawi,Malawi,field,Nigeria,"Gahanga B Ground, Rwanda, Kigali City"
112,1410528,2024,2024-06-06,Charlotte Edwards Cup,female,T20,Sunrisers,South East Stars,South East Stars,field,South East Stars,"Lord's, London"
119,1435640,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Rwanda,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
121,1435639,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,female,T20,Botswana,Malawi,Malawi,field,Botswana,"Gahanga B Ground, Rwanda, Kigali City"
122,1435638,2024,2024-06-05,Kwibuka Women's Twenty20 Tournament,female,T20,Cameroon,Kenya,Cameroon,bat,Kenya,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
125,1435635,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,female,T20,Kenya,Uganda,Kenya,bat,Uganda,"Gahanga B Ground, Rwanda, Kigali City"
126,1435634,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,female,T20,Nigeria,Rwanda,Nigeria,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
127,1435637,2024,2024-06-04,Kwibuka Women's Twenty20 Tournament,female,T20,Cameroon,Malawi,Cameroon,bat,Malawi,"Gahanga B Ground, Rwanda, Kigali City"
132,1435632,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,female,T20,Botswana,Nigeria,Botswana,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
134,1435633,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,female,T20,Rwanda,Kenya,Kenya,field,Rwanda,"Gahanga B Ground, Rwanda, Kigali City"
136,1435630,2024,2024-06-03,Kwibuka Women's Twenty20 Tournament,female,T20,Uganda,Malawi,Uganda,bat,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
143,1410525,2024,2024-06-02,Charlotte Edwards Cup,female,T20,Thunder,The Blaze,Thunder,bat,The Blaze,"Old Trafford, Manchester"
