,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
0,1474261,2025,2025-03-01,Bahrain tour of Singapore,male,T20,Singapore,Bahrain,Singapore,bat,Bahrain,"Singapore National Cricket Ground, Singapore"
1,1466424,2025,2025-03-01,ICC Champions Trophy,male,ODI,England,South Africa,England,bat,South Africa,"National Stadium, Karachi"
2,1469311,2025,2025-03-01,Women's Premier League,female,T20,RCB,DC,DC,field,DC,"M Chinnaswamy Stadium, Bengaluru"
3,1474260,2025,2025-02-28,Bahrain tour of Singapore,male,T20,Bahrain,Singapore,Singapore,field,Bahrain,"Singapore National Cricket Ground, Singapore"
4,1469310,2025,2025-02-28,Women's Premier League,female,T20,MI,DC,DC,field,DC,"M Chinnaswamy Stadium, Bengaluru"
5,1469309,2025,2025-02-27,Women's Premier League,female,T20,RCB,Gujarat Giants,Gujarat Giants,field,Gujarat Giants,"M Chinnaswamy Stadium, Bengaluru"
6,1469308,2025,2025-02-26,Women's Premier League,female,T20,UP Warriorz,MI,MI,field,MI,"M Chinnaswamy Stadium, Bengaluru"
7,1467706,2025,2025-02-25,Ireland tour of Zimbabwe,male,T20,Zimbabwe,Ireland,Ireland,field,no result,"Harare Sports Club, Harare"
8,1469307,2025,2025-02-25,Women's Premier League,female,T20,Gujarat Giants,DC,DC,field,DC,"M Chinnaswamy Stadium, Bengaluru"
9,1466419,2025,2025-02-24,ICC Champions Trophy,male,ODI,Bangladesh,New Zealand,New Zealand,field,New Zealand,"Rawalpindi Cricket Stadium, Rawalpindi"
10,1469306,2025,2025-02-24,Women's Premier League,female,T20,RCB,UP Warriorz,UP Warriorz,field,UP Warriorz,"M Chinnaswamy Stadium, Bengaluru"
11,1471826,2025,2025-02-24,Bahrain tour of Indonesia,male,T20,Indonesia,Bahrain,Indonesia,bat,Bahrain,"Udayana Cricket Ground, Bali"
12,1467705,2025,2025-02-23,Ireland tour of Zimbabwe,male,T20,Ireland,Zimbabwe,Zimbabwe,field,Zimbabwe,"Harare Sports Club, Harare"
13,1471825,2025,2025-02-23,Bahrain tour of Indonesia,male,T20,Bahrain,Indonesia,Indonesia,field,Bahrain,"Udayana Cricket Ground, Bali"
14,1473147,2025,2025-02-23,United States of America tour of Oman,male,T20,Oman,United States of America,Oman,bat,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
15,1466418,2025,2025-02-23,ICC Champions Trophy,male,ODI,Pakistan,India,Pakistan,bat,India,"Dubai International Cricket Stadium, Dubai"
16,1469305,2025,2025-02-22,Women's Premier League,female,T20,UP Warriorz,DC,DC,field,UP Warriorz,"M Chinnaswamy Stadium, Bengaluru"
17,1467704,2025,2025-02-22,Ireland tour of Zimbabwe,male,T20,Zimbabwe,Ireland,Ireland,field,no result,"Harare Sports Club, Harare"
18,1471824,2025,2025-02-22,Bahrain tour of Indonesia,male,T20,Bahrain,Indonesia,Indonesia,field,Indonesia,"Udayana Cricket Ground, Bali"
19,1466417,2025,2025-02-22,ICC Champions Trophy,male,ODI,England,Australia,Australia,field,Australia,"Gaddafi Stadium, Lahore"
20,1444515,2025,2025-02-21,Sheffield Shield,male,MDM,South Australia,Tasmania,South Australia,bat,South Australia,"Adelaide Oval, Adelaide"
21,1469304,2025,2025-02-21,Women's Premier League,female,T20,RCB,MI,MI,field,MI,"M Chinnaswamy Stadium, Bengaluru"
22,1473146,2025,2025-02-21,United States of America tour of Oman,male,T20,Oman,United States of America,United States of America,field,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
23,1471823,2025,2025-02-20,Bahrain tour of Indonesia,male,T20,Indonesia,Bahrain,Bahrain,field,Bahrain,"Udayana Cricket Ground, Bali"
24,1473145,2025,2025-02-20,United States of America in Oman T20I Series,male,T20,Oman,United States of America,United States of America,field,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
25,1444513,2025,2025-02-20,Sheffield Shield,male,MDM,New South Wales,Victoria,New South Wales,bat,New South Wales,"Sydney Cricket Ground, Sydney"
26,1444514,2025,2025-02-20,Sheffield Shield,male,MDM,Queensland,Western Australia,Queensland,bat,Western Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
27,1466415,2025,2025-02-20,ICC Champions Trophy,male,ODI,Bangladesh,India,Bangladesh,bat,India,"Dubai International Cricket Stadium, Dubai"
28,1471822,2025,2025-02-19,Bahrain tour of Indonesia,male,T20,Bahrain,Indonesia,Indonesia,field,Bahrain,"Udayana Cricket Ground, Bali"
29,1469303,2025,2025-02-19,Women's Premier League,female,T20,UP Warriorz,DC,DC,field,DC,"Kotambi Stadium, Vadodara"
30,1466414,2025,2025-02-19,ICC Champions Trophy,male,ODI,New Zealand,Pakistan,Pakistan,field,New Zealand,"National Stadium, Karachi"
31,1469302,2025,2025-02-18,Women's Premier League,female,T20,Gujarat Giants,MI,MI,field,MI,"Kotambi Stadium, Vadodara"
32,1468884,2025,2025-02-18,ICC Men's Cricket World Cup League 2,male,ODI,United States of America,Oman,Oman,field,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
33,1467703,2025,2025-02-18,Ireland tour of Zimbabwe,male,ODI,Ireland,Zimbabwe,Zimbabwe,field,Zimbabwe,"Harare Sports Club, Harare"
34,1469301,2025,2025-02-17,Women's Premier League,female,T20,DC,RCB,RCB,field,RCB,"Kotambi Stadium, Vadodara"
35,1469300,2025,2025-02-16,Women's Premier League,female,T20,UP Warriorz,Gujarat Giants,Gujarat Giants,field,Gujarat Giants,"Kotambi Stadium, Vadodara"
36,1468883,2025,2025-02-16,ICC Men's Cricket World Cup League 2,male,ODI,Namibia,Oman,Namibia,bat,Oman,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
37,1471842,2025,2025-02-16,CWC Challenge League,male,ODM,Tanzania,Singapore,Singapore,field,Tanzania,"Kowloon Cricket Club, Kowloon"
38,1471841,2025,2025-02-16,CWC Challenge League,male,ODM,Hong Kong,Italy,Italy,field,Italy,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
39,1467702,2025,2025-02-16,Ireland tour of Zimbabwe,male,ODI,Zimbabwe,Ireland,Ireland,field,Ireland,"Harare Sports Club, Harare"
40,1471840,2025,2025-02-15,CWC Challenge League,male,ODM,Bahrain,Italy,Bahrain,bat,Italy,"Kowloon Cricket Club, Kowloon"
41,1469299,2025,2025-02-15,Women's Premier League,female,T20,MI,DC,DC,field,DC,"Kotambi Stadium, Vadodara"
42,1471839,2025,2025-02-15,CWC Challenge League,male,ODM,Uganda,Tanzania,Tanzania,field,Uganda,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
43,1468882,2025,2025-02-14,ICC Men's Cricket World Cup League 2,male,ODI,United States of America,Namibia,Namibia,field,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
44,1467701,2025,2025-02-14,Ireland tour of Zimbabwe,male,ODI,Zimbabwe,Ireland,Ireland,field,Zimbabwe,"Harare Sports Club, Harare"
45,1442223,2025,2025-02-14,Pakistan Tri-Nation Series,male,ODI,Pakistan,New Zealand,Pakistan,bat,New Zealand,"National Stadium, Karachi"
46,1469168,2025,2025-02-14,Australia tour of Sri Lanka,male,ODI,Sri Lanka,Australia,Sri Lanka,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo"
47,1469298,2025,2025-02-14,Women's Premier League,female,T20,Gujarat Giants,RCB,RCB,field,RCB,"Kotambi Stadium, Vadodara"
48,1471838,2025,2025-02-13,CWC Challenge League,male,ODM,Uganda,Hong Kong,Hong Kong,field,Uganda,"Kowloon Cricket Club, Kowloon"
49,1471837,2025,2025-02-13,CWC Challenge League,male,ODM,Singapore,Bahrain,Bahrain,field,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
50,1439906,2025,2025-02-12,England tour of India,male,ODI,India,England,England,field,India,"Narendra Modi Stadium, Ahmedabad"
51,1459908,2025,2025-02-12,Australia tour of Sri Lanka,male,ODI,Sri Lanka,Australia,Sri Lanka,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo"
52,1468881,2025,2025-02-12,ICC Men's Cricket World Cup League 2,male,ODI,United States of America,Oman,United States of America,bat,Oman,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
53,1442222,2025,2025-02-12,Pakistan Tri-Nation Series,male,ODI,South Africa,Pakistan,South Africa,bat,Pakistan,"National Stadium, Karachi"
54,1444510,2025,2025-02-11,Sheffield Shield,male,MDM,Tasmania,Victoria,Victoria,field,Tasmania,"Bellerive Oval, Hobart"
55,1444511,2025,2025-02-11,Sheffield Shield,male,MDM,Queensland,New South Wales,New South Wales,field,Queensland,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
56,1471834,2025,2025-02-10,CWC Challenge League,male,ODM,Singapore,Uganda,Uganda,field,Uganda,"Kowloon Cricket Club, Kowloon"
57,1467700,2025,2025-02-10,Ireland tour of Zimbabwe,male,Test,Ireland,Zimbabwe,Ireland,bat,Ireland,"Queens Sports Club, Bulawayo"
58,1442221,2025,2025-02-10,Pakistan Tri-Nation Series,male,ODI,South Africa,New Zealand,New Zealand,field,New Zealand,"Gaddafi Stadium, Lahore"
59,1471833,2025,2025-02-10,CWC Challenge League,male,ODM,Tanzania,Bahrain,Bahrain,field,Bahrain,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
60,1468880,2025,2025-02-10,ICC Men's Cricket World Cup League 2,male,ODI,Namibia,Oman,Oman,field,Namibia,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
61,1439905,2025,2025-02-09,England tour of India,male,ODI,England,India,England,bat,India,"Barabati Stadium, Cuttack"
62,1471832,2025,2025-02-09,CWC Challenge League,male,ODM,Bahrain,Hong Kong,Hong Kong,field,Hong Kong,"Kowloon Cricket Club, Kowloon"
63,1462206,2025,2025-02-09,International League T20,male,T20,Desert Vipers,Dubai Capitals,Dubai Capitals,field,Dubai Capitals,"Dubai International Cricket Stadium, Dubai"
64,1444512,2025,2025-02-09,Sheffield Shield,male,MDM,Western Australia,South Australia,South Australia,field,South Australia,"Western Australia Cricket Association Ground, Perth"
65,1471831,2025,2025-02-09,CWC Challenge League,male,ODM,Singapore,Italy,Italy,field,Italy,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
66,1459907,2025,2025-02-09,Australia tour of Sri Lanka,male,Test,Sri Lanka,Australia,Sri Lanka,bat,Australia,"Galle International Stadium, Galle"
67,1468879,2025,2025-02-08,ICC Men's Cricket World Cup League 2,male,ODI,United States of America,Namibia,Namibia,field,United States of America,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
68,1449667,2025,2025-02-08,SA20,male,T20,MI Cape Town,Sunrisers Eastern Cape,MI Cape Town,bat,MI Cape Town,"The Wanderers Stadium, Johannesburg"
69,1442220,2025,2025-02-08,Pakistan Tri-Nation Series,male,ODI,New Zealand,Pakistan,New Zealand,bat,New Zealand,"Gaddafi Stadium, Lahore"
70,1471829,2025,2025-02-07,CWC Challenge League,male,ODM,Uganda,Bahrain,Bahrain,field,Uganda,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
71,1468731,2025,2025-02-07,Nepal Women's T20I Tri-Series,female,T20,Nepal,Thailand,Nepal,bat,Thailand,"Tribhuvan University International Cricket Ground, Kirtipur"
72,1462205,2025,2025-02-07,International League T20,male,T20,Sharjah Warriorz,Desert Vipers,Desert Vipers,field,Desert Vipers,"Sharjah Cricket Association Stadium, Sharjah"
73,1459582,2025,2025-02-07,Bangladesh Premier League,male,T20,Chittagong Kings,Fortune Barishal,Fortune Barishal,field,Fortune Barishal,"Shere Bangla National Stadium, Mirpur, Dhaka"
74,1471830,2025,2025-02-07,CWC Challenge League,male,ODM,Tanzania,Italy,Italy,field,Italy,"Kowloon Cricket Club, Kowloon"
75,1449666,2025,2025-02-06,SA20,male,T20,Paarl Royals,Sunrisers Eastern Cape,Paarl Royals,bat,Sunrisers Eastern Cape,"SuperSport Park, Centurion"
