Unnamed: 0,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
2254,1434162,2024,2024-05-26,Continental Cup,male,IT20,Gibraltar,Hungary,Hungary,field,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County"
11120,1166891,2018,2018-12-07,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,Indonesia,Indonesia,field,Philippines,"Friendship Oval, Dasmarinas"
11122,1166892,2018,2018-12-07,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Japan,South Korea,South Korea,field,South Korea,"Friendship Oval, Dasmarinas"
11126,1166890,2018,2018-12-06,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,Japan,Philippines,bat,Philippines,"Friendship Oval, Dasmarinas"
11127,1166889,2018,2018-12-06,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Indonesia,South Korea,Indonesia,bat,South Korea,"Friendship Oval, Dasmarinas"
11128,1166888,2018,2018-12-05,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,South Korea,Philippines,bat,Philippines,"Friendship Oval, Dasmarinas"
11129,1166887,2018,2018-12-05,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Indonesia,Japan,Japan,bat,Indonesia,"Friendship Oval, Dasmarinas"
11133,1166886,2018,2018-12-03,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Japan,South Korea,South Korea,bat,Japan,"Friendship Oval, Dasmarinas"
11134,1166885,2018,2018-12-03,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,Indonesia,Philippines,bat,Philippines,"Friendship Oval, Dasmarinas"
11137,1166884,2018,2018-12-02,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,Japan,Japan,bat,Japan,"Friendship Oval, Dasmarinas"
11144,1166881,2018,2018-12-01,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Japan,Indonesia,Japan,bat,Japan,"Friendship Oval, Dasmarinas"
11145,1166882,2018,2018-12-01,ICC World Twenty20 East Asia-Pacific Region Qualifier B,male,IT20,Philippines,South Korea,South Korea,field,Philippines,"Friendship Oval, Dasmarinas"
11222,1163067,2018,2018-11-03,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Namibia,Botswana,Namibia,bat,Botswana,"Botswana Cricket Association Oval 1, Gaborone"
11224,1163066,2018,2018-11-02,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Namibia,St Helena,Namibia,bat,Namibia,"Botswana Cricket Association Oval 2, Gaborone"
11225,1163064,2018,2018-11-02,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Lesotho,Botswana,Lesotho,bat,Botswana,"Botswana Cricket Association Oval 2, Gaborone"
11226,1163059,2018,2018-11-01,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Malawi,Mozambique,Malawi,bat,Mozambique,"Botswana Cricket Association Oval 1, Gaborone"
11227,1163060,2018,2018-11-01,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Namibia,Lesotho,Namibia,bat,Namibia,"Botswana Cricket Association Oval 2, Gaborone"
11228,1163061,2018,2018-11-01,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Swaziland,Botswana,Swaziland,bat,Botswana,"Botswana Cricket Association Oval 1, Gaborone"
11230,1163062,2018,2018-11-01,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Malawi,Lesotho,Malawi,bat,Malawi,"Botswana Cricket Association Oval 2, Gaborone"
11232,1163058,2018,2018-10-30,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Botswana,Malawi,Botswana,bat,Botswana,"Botswana Cricket Association Oval 2, Gaborone"
11233,1163057,2018,2018-10-30,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Mozambique,Lesotho,Mozambique,bat,Mozambique,"Botswana Cricket Association Oval 1, Gaborone"
11234,1163055,2018,2018-10-30,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Botswana,St Helena,Botswana,bat,Botswana,"Botswana Cricket Association Oval 1, Gaborone"
11235,1163056,2018,2018-10-30,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Swaziland,Malawi,Swaziland,bat,Malawi,"Botswana Cricket Association Oval 2, Gaborone"
11236,1163054,2018,2018-10-29,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Namibia,Mozambique,Namibia,bat,Namibia,"Botswana Cricket Association Oval 2, Gaborone"
11237,1163052,2018,2018-10-29,ICC World Twenty20 Africa Region Qualifier C,male,IT20,St Helena,Malawi,St Helena,bat,St Helena,"Botswana Cricket Association Oval 1, Gaborone"
11238,1163051,2018,2018-10-29,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Swaziland,Lesotho,Lesotho,field,Lesotho,"Botswana Cricket Association Oval 1, Gaborone"
11242,1163048,2018,2018-10-28,ICC World Twenty20 Africa Region Qualifier C,male,IT20,Swaziland,Namibia,Namibia,field,Namibia,"Botswana Cricket Association Oval 2, Gaborone"
11271,1160964,2018,2018-10-12,ICC World Twenty20 Asia Region Qualifier B,male,IT20,China,Malaysia,Malaysia,field,Malaysia,"UKM-YSD Cricket Oval, Bangi"
11272,1160965,2018,2018-10-12,ICC World Twenty20 Asia Region Qualifier B,male,IT20,Singapore,Nepal,Nepal,field,no result,"Bayuemas Oval, Kuala Lumpur"
11276,1160962,2018,2018-10-10,ICC World Twenty20 Asia Region Qualifier B,male,IT20,Thailand,Myanmar,Myanmar,field,Thailand,"Bayuemas Oval, Kuala Lumpur"
11278,1160960,2018,2018-10-10,ICC World Twenty20 Asia Region Qualifier B,male,IT20,China,Nepal,Nepal,field,Nepal,"Bayuemas Oval, Kuala Lumpur"
11279,1160961,2018,2018-10-10,ICC World Twenty20 Asia Region Qualifier B,male,IT20,Singapore,Bhutan,Bhutan,field,Singapore,"UKM-YSD Cricket Oval, Bangi"
