match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1452148,2024,Plunket Shield,Plunket Shield,2024-12-10,Otago Volts,Canterbury,Canterbury,field,Canterbury,38,33,33,16,1,3,"Mainpower Oval, Rangiora"
1452146,2024,Plunket Shield,Plunket Shield,2024-12-10,Wellington Firebirds,Auckland Aces,Auckland Aces,bat,Wellington Firebirds,45,50,50,11,3,2,"Eden Park Outer Oval, Auckland"
1452145,2024,Plunket Shield,Plunket Shield,2024-12-01,Wellington Firebirds,Central Stags,Wellington Firebirds,bat,Central Stags,50,0,0,27,4,3,"Mclean Park, Napier"
1452141,2024,Plunket Shield,Plunket Shield,2024-11-22,Central Stags,Canterbury,Canterbury,field,Canterbury,42,50,33,50,3,2,"Saxton Oval, Nelson"
1452140,2024,Plunket Shield,Plunket Shield,2024-11-22,Northern Districts,Auckland Aces,Auckland Aces,field,Northern Districts,25,66,20,33,4,2,"Seddon Park, Hamilton"
1452139,2024,Plunket Shield,Plunket Shield,2024-11-14,Northern Districts,Canterbury,Northern Districts,field,Northern Districts,33,66,66,5,4,3,"Hagley Oval, Christchurch"
1452138,2024,Plunket Shield,Plunket Shield,2024-11-13,Wellington Firebirds,Auckland Aces,Auckland Aces,bat,Auckland Aces,45,0,0,100,4,1,"Basin Reserve, Wellington"
1452137,2024,Plunket Shield,Plunket Shield,2024-11-13,Otago Volts,Central Stags,Otago Volts,bat,Central Stags,25,0,0,36,1,3,"Mclean Park, Napier"
1444515,2025,Sheffield Shield,MDM,2025-02-21,Tasmania,South Australia,South Australia,bat,South Australia,38,66,66,10,2,4,"Adelaide Oval, Adelaide"
1444514,2025,Sheffield Shield,MDM,2025-02-20,Western Australia,Queensland,Queensland,bat,Western Australia,100,100,100,0,2,2,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
1444513,2025,Sheffield Shield,MDM,2025-02-20,Victoria,New South Wales,New South Wales,bat,New South Wales,89,66,66,11,2,2,"Sydney Cricket Ground, Sydney"
1444512,2025,Sheffield Shield,MDM,2025-02-09,Western Australia,South Australia,South Australia,field,South Australia,70,75,15,25,3,4,"Western Australia Cricket Association Ground, Perth"
1444511,2025,Sheffield Shield,MDM,2025-02-11,Queensland,New South Wales,New South Wales,field,Queensland,33,40,40,60,2,3,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
1444510,2025,Sheffield Shield,MDM,2025-02-11,Victoria,Tasmania,Victoria,field,Tasmania,40,33,33,25,3,2,"Bellerive Oval, Hobart"
1444509,2024,Sheffield Shield,MDM,2024-12-09,Tasmania,South Australia,Tasmania,field,South Australia,38,0,0,100,1,3,"Bellerive Oval, Hobart"
1444508,2024,Sheffield Shield,MDM,2024-12-08,Victoria,Queensland,Victoria,field,Queensland,50,50,25,50,3,1,"Melbourne Cricket Ground, Melbourne"
1444507,2024,Sheffield Shield,MDM,2024-12-09,Western Australia,New South Wales,Western Australia,bat,New South Wales,50,33,33,22,4,3,"Sydney Cricket Ground, Sydney"
