match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1410225,2024,2024-05-27,County Championship,Kent,Essex,Essex,bat,Essex,"St Lawrence Ground, Canterbury",10,1,10,3,0,0,14,3,0,3,0,100,1,3
1410224,2024,2024-05-26,County Championship,Surrey,Hampshire,Surrey,bat,Hampshire,"The Rose Bowl, Southampton",10,7,70,4,2,50,4,29,2,2,50,6,4,4
1410223,2024,2024-05-25,County Championship,Somerset,Durham,Durham,field,Durham,"Riverside Ground, Chester-Le-Street",5,2,40,2,0,0,2,41,0,2,0,4,3,4
1410284,2024,2024-05-20,County Championship,Middlesex,Glamorgan,Middlesex,field,Middlesex,"Sophia Gardens, Cardiff",3,3,100,2,2,100,2,25,2,0,100,0,2,3
1410221,2024,2024-05-20,County Championship,Somerset,Kent,Kent,field,Somerset,"The Cooper Associates County Ground, Taunton",3,2,67,1,1,100,12,1,1,0,8,0,3,1
1410220,2024,2024-05-20,County Championship,Nottinghamshire,Hampshire,Hampshire,field,Hampshire,"Trent Bridge, Nottingham",10,1,10,5,1,20,28,5,1,4,3,80,3,3
1410219,2024,2024-05-20,County Championship,Lancashire,Durham,Durham,field,Lancashire,"Stanley Park, Blackpool",5,2,40,1,1,100,2,1,1,0,50,0,1,5
1410218,2024,2024-05-20,County Championship,Warwickshire,Essex,Warwickshire,bat,Essex,"County Ground, Chelmsford",8,3,38,4,0,0,4,46,0,4,0,8,2,2
1410286,2024,2024-05-19,County Championship,Yorkshire,Sussex,Yorkshire,field,Sussex,"County Ground, Hove, Brighton",5,4,80,2,1,50,2,6,1,1,50,16,3,4
1410222,2024,2024-05-19,County Championship,Worcestershire,Surrey,Worcestershire,field,Surrey,"Kennington Oval, London",3,1,33,1,0,0,1,9,0,1,0,11,3,4
1410282,2024,2024-05-13,County Championship,Northamptonshire,Gloucestershire,Northamptonshire,field,Gloucestershire,"County Ground, Northampton",6,3,50,3,2,66,23,3,2,1,8,33,1,0
1410217,2024,2024-05-13,County Championship,Warwickshire,Surrey,Surrey,field,Surrey,"Kennington Oval, London",9,2,22,5,0,0,5,9,0,5,0,55,3,4
1410216,2024,2024-05-13,County Championship,Nottinghamshire,Lancashire,Lancashire,bat,Nottinghamshire,"Trent Bridge, Nottingham",6,4,67,3,2,66,28,3,2,1,7,33,2,1
1410281,2024,2024-05-12,County Championship,Sussex,Glamorgan,Glamorgan,field,Glamorgan,"Sophia Gardens, Cardiff",6,4,67,4,2,50,4,25,2,2,50,8,4,3
1410212,2024,2024-05-06,County Championship,Lancashire,Kent,Lancashire,field,Kent,"Old Trafford, Manchester",5,4,80,3,2,66,10,3,2,1,20,33,2,1
1410278,2024,2024-05-05,County Championship,Sussex,Derbyshire,Sussex,field,Sussex,"County Ground, Derby",6,3,50,2,1,50,2,24,1,1,50,4,4,0
1410213,2024,2024-05-04,County Championship,Somerset,Essex,Somerset,field,Somerset,"The Cooper Associates County Ground, Taunton",7,2,29,2,1,50,12,2,1,1,8,50,2,3
1410209,2024,2024-04-29,County Championship,Surrey,Hampshire,Surrey,field,Surrey,"Kennington Oval, London",10,7,70,5,5,100,24,5,5,0,20,0,4,4
1410274,2024,2024-04-22,County Championship,Sussex,Gloucestershire,Sussex,field,Sussex,"County Ground, Hove, Brighton",5,5,100,3,3,100,32,3,3,0,9,0,4,0
1410205,2024,2024-04-22,County Championship,Surrey,Kent,Surrey,field,Surrey,"St Lawrence Ground, Canterbury",7,4,57,2,2,100,2,19,2,0,100,0,4,1
1410272,2024,2024-04-21,County Championship,Yorkshire,Middlesex,Middlesex,field,Middlesex,"Lord'S, London",7,2,29,4,0,0,4,17,0,4,0,23,3,2
1410207,2024,2024-04-21,County Championship,Worcestershire,Durham,Durham,bat,Durham,"Chester Road North Ground, Kidderminster",8,2,25,1,0,0,2,1,0,1,0,100,4,5
1410203,2024,2024-04-21,County Championship,Lancashire,Essex,Essex,field,Essex,"County Ground, Chelmsford",6,1,17,3,1,33,3,46,1,2,33,4,3,3
1410196,2024,2024-04-08,County Championship,Nottinghamshire,Essex,Nottinghamshire,field,Essex,"Trent Bridge, Nottingham",6,2,33,4,1,25,28,4,1,3,3,75,3,3
1391926,2024,2024-03-27,Plunket Shield,Otago Volts,Central Stags,Central Stags,field,Central Stags,"Mclean Park, Napier",11,3,27,3,0,0,3,9,0,3,0,33,1,3
