match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1482566,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-21,United States Of America,Oman,United States of America,field,Oman,25,0,0,100,4,3,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
1482565,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-19,Oman,Canada,Oman,bat,Oman,33,100,100,0,3,3,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
1482564,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-17,United States Of America,Canada,United States of America,bat,United States Of America,75,100,20,0,4,4,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
1481535,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-16,Scotland,Netherlands,Netherlands,field,Scotland,50,100,100,0,3,5,"Sportpark Maarschalkerweerd, Utrecht"
1481534,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-14,United Arab Emirates,Scotland,United Arab Emirates,bat,Scotland,31,0,0,100,1,3,"Sportpark Maarschalkerweerd, Utrecht"
1481533,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-12,United Arab Emirates,Netherlands,United Arab Emirates,bat,Netherlands,25,0,0,50,1,4,"Sportpark Maarschalkerweerd, Utrecht"
1481532,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-10,Scotland,Netherlands,Netherlands,bat,Netherlands,50,0,0,20,2,4,"Vra Cricket Ground, Amstelveen"
1481531,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-08,United Arab Emirates,Scotland,United Arab Emirates,bat,United Arab Emirates,31,50,33,50,1,2,"Vra Cricket Ground, Amstelveen"
1481530,2025,ICC Men's Cricket World Cup League 2,ODI,2025-05-06,United Arab Emirates,Netherlands,United Arab Emirates,field,Netherlands,25,0,0,20,1,3,"Vra Cricket Ground, Amstelveen"
1474414,2025,ICC Men's Cricket World Cup League 2,ODI,2025-03-15,Namibia,Canada,Namibia,bat,Namibia,67,66,66,20,0,5,"Wanderers Cricket Ground, Windhoek"
1474413,2025,ICC Men's Cricket World Cup League 2,ODI,2025-03-13,Netherlands,Namibia,Namibia,bat,Netherlands,80,100,100,0,5,0,"Wanderers Cricket Ground, Windhoek"
