match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1419829,2024,2024-03-18,Sri Lanka tour of Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,bat,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chittagong, Chattogram",42,30,71,3,1,33,3,20,1,2,33,10,4,2
1419828,2024,2024-03-15,Sri Lanka tour of Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,field,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Chittagong, Chattogram",42,30,71,3,1,33,3,20,1,2,33,10,4,2
1419827,2024,2024-03-13,Sri Lanka tour of Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,bat,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chittagong, Chattogram",42,30,71,3,1,33,3,20,1,2,33,10,5,2
1416083,2024,2024-03-12,Afghanistan vs Ireland,Ireland,Afghanistan,Ireland,field,Afghanistan,"Sharjah Cricket Association Stadium, Sharjah",28,10,36,5,2,40,5,18,2,3,40,16,3,1
1421073,2024,2024-03-07,ICC Men's Cricket World Cup League 2,Scotland,Canada,Canada,field,Canada,"Dubai International Cricket Stadium, Dubai",4,1,25,2,0,0,7,4,0,2,0,50,3,3
1416081,2024,2024-03-07,Afghanistan vs Ireland,Ireland,Afghanistan,Ireland,field,Afghanistan,"Sharjah Cricket Association Stadium, Sharjah",28,10,36,5,2,40,5,18,2,3,40,16,4,0
1421072,2024,2024-03-05,ICC Men's Cricket World Cup League 2,United Arab Emirates,Canada,United Arab Emirates,field,Canada,"Dubai International Cricket Stadium, Dubai",3,1,33,2,0,0,14,4,0,2,0,50,1,2
1421071,2024,2024-03-03,ICC Men's Cricket World Cup League 2,United Arab Emirates,Scotland,Scotland,field,Scotland,"Dubai International Cricket Stadium, Dubai",13,4,31,2,1,50,14,2,1,1,7,50,1,3
1421070,2024,2024-03-01,ICC Men's Cricket World Cup League 2,Scotland,Canada,Canada,field,Canada,"Dubai International Cricket Stadium, Dubai",4,1,25,2,0,0,7,4,0,2,0,50,2,2
1421069,2024,2024-02-28,ICC Men's Cricket World Cup League 2,United Arab Emirates,Canada,Canada,field,Canada,"Dubai International Cricket Stadium, Dubai",3,1,33,2,0,0,14,4,0,2,0,50,1,1
1420534,2024,2024-02-25,ICC Men's Cricket World Cup League 2,Netherlands,Nepal,Netherlands,field,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",3,2,67,2,1,50,4,19,1,1,25,5,1,3
1420533,2024,2024-02-23,ICC Men's Cricket World Cup League 2,Netherlands,Namibia,Netherlands,field,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",3,2,67,2,1,50,4,8,1,1,25,12,1,3
1420532,2024,2024-02-21,ICC Men's Cricket World Cup League 2,Nepal,Namibia,Namibia,field,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",7,2,29,4,2,50,7,8,2,2,28,25,3,3
1420531,2024,2024-02-19,ICC Men's Cricket World Cup League 2,Netherlands,Namibia,Netherlands,field,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",3,2,67,2,1,50,4,8,1,1,25,12,1,3
1420530,2024,2024-02-17,ICC Men's Cricket World Cup League 2,Netherlands,Nepal,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",3,2,67,2,1,50,4,19,1,1,25,5,1,4
1420529,2024,2024-02-15,ICC Men's Cricket World Cup League 2,Nepal,Namibia,Namibia,field,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",7,2,29,4,2,50,7,8,2,2,28,25,4,3
1416076,2024,2024-02-14,Afghanistan tour of Sri Lanka,Sri Lanka,Afghanistan,Afghanistan,bat,Sri Lanka,Pallekele International Cricket Stadium,14,10,71,5,4,80,28,5,4,1,14,20,4,1
1420222,2024,2024-02-12,Canada tour of Nepal,Nepal,Canada,Nepal,field,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",3,3,100,3,3,100,7,3,3,0,42,0,3,1
1416075,2024,2024-02-11,Afghanistan tour of Sri Lanka,Sri Lanka,Afghanistan,Sri Lanka,bat,Sri Lanka,Pallekele International Cricket Stadium,14,10,71,5,4,80,28,5,4,1,14,20,3,2
1420221,2024,2024-02-10,Canada tour of Nepal,Nepal,Canada,Canada,bat,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",3,3,100,3,3,100,7,3,3,0,42,0,3,2
1416074,2024,2024-02-09,Afghanistan tour of Sri Lanka,Sri Lanka,Afghanistan,Afghanistan,field,Sri Lanka,Pallekele International Cricket Stadium,14,10,71,5,4,80,28,5,4,1,14,20,2,3
1420220,2024,2024-02-08,Canada tour of Nepal,Nepal,Canada,Nepal,bat,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",3,3,100,3,3,100,7,3,3,0,42,0,2,2
1375849,2024,2024-02-06,West Indies tour of Australia,West Indies,Australia,Australia,field,Australia,"Manuka Oval, Canberra",39,8,21,2,0,0,2,6,0,2,0,33,2,5
1375848,2024,2024-02-04,West Indies tour of Australia,West Indies,Australia,West Indies,field,Australia,"Sydney Cricket Ground, Sydney",39,8,21,2,0,0,3,40,0,2,0,5,2,5
1375847,2024,2024-02-02,West Indies tour of Australia,West Indies,Australia,Australia,field,Australia,"Melbourne Cricket Ground, Melbourne",39,8,21,4,0,0,4,33,0,4,0,12,3,5
1412541,2024,2024-01-11,Zimbabwe tour of Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo",30,7,23,2,0,0,2,5,0,2,0,40,0,4
1412540,2024,2024-01-08,Zimbabwe tour of Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama, Colombo",30,7,23,2,0,0,2,5,0,2,0,40,1,4
1388212,2023,2023-12-23,Bangladesh tour of New Zealand,New Zealand,Bangladesh,Bangladesh,field,Bangladesh,"Mclean Park, Napier",36,26,72,4,3,75,11,4,3,1,27,25,3,1
1387602,2023,2023-12-21,India tour of South Africa,South Africa,India,South Africa,field,India,"Boland Bank Park, Paarl",45,22,49,3,2,66,6,4,2,1,33,25,2,3
1388211,2023,2023-12-20,Bangladesh tour of New Zealand,New Zealand,Bangladesh,New Zealand,field,New Zealand,"Saxton Oval, Nelson",36,26,72,3,3,100,3,3,3,0,100,0,2,1
1387601,2023,2023-12-19,India tour of South Africa,South Africa,India,South Africa,field,South Africa,"St George'S Park, Port Elizabeth, Gqeberha",45,22,49,4,3,75,15,4,3,1,20,25,2,4
1408108,2023,2023-12-17,Ireland tour of Zimbabwe,Zimbabwe,Ireland,Ireland,field,Ireland,"Harare Sports Club, Harare",15,6,40,8,4,50,93,11,4,4,4,36,2,3
1408102,2023,2023-12-17,Bangladesh tour of New Zealand,New Zealand,Bangladesh,Bangladesh,field,New Zealand,"University Oval, Dunedin",36,26,72,4,4,100,5,4,4,0,80,0,1,1
1387600,2023,2023-12-17,India tour of South Africa,South Africa,India,South Africa,bat,India,"The Wanderers Stadium, Johannesburg",45,22,49,2,1,50,9,2,1,1,11,50,3,4
1408107,2023,2023-12-15,Ireland tour of Zimbabwe,Zimbabwe,Ireland,Zimbabwe,bat,Ireland,"Harare Sports Club, Harare",15,6,40,8,4,50,93,11,4,4,4,36,3,4
1373578,2023,2023-12-09,England tour of West Indies,West Indies,England,West Indies,field,West Indies,"Kensington Oval, Barbados, Bridgetown",38,13,34,7,3,42,24,8,3,4,12,50,2,3
1373577,2023,2023-12-06,England tour of West Indies,West Indies,England,England,field,England,"Sir Vivian Richards Stadium, North Sound, Antigua",38,13,34,7,2,28,18,8,2,5,11,62,2,2
1373576,2023,2023-12-03,England tour of West Indies,West Indies,England,England,bat,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",38,13,34,7,2,28,18,8,2,5,11,62,2,2
1384439,2023,2023-11-19,ICC Cricket World Cup,India,Australia,Australia,field,Australia,"Narendra Modi Stadium, Ahmedabad",75,32,43,1,0,0,1,2,0,1,0,50,3,5
1384438,2023,2023-11-16,ICC Cricket World Cup,South Africa,Australia,South Africa,bat,Australia,"Eden Gardens, Kolkata",53,31,58,1,0,0,3,2,0,1,0,50,4,5
1384437,2023,2023-11-15,ICC Cricket World Cup,New Zealand,India,India,bat,India,"Wankhede Stadium, Mumbai",48,21,44,2,1,50,3,6,1,1,33,16,1,5
1384436,2023,2023-11-12,ICC Cricket World Cup,Netherlands,India,India,bat,India,"M Chinnaswamy Stadium, Bengaluru",3,0,0,1,0,0,1,3,0,1,0,33,1,5
1384435,2023,2023-11-11,ICC Cricket World Cup,Pakistan,England,England,bat,England,"Eden Gardens, Kolkata",39,10,26,1,0,0,3,3,0,1,0,33,2,1
1384434,2023,2023-11-11,ICC Cricket World Cup,Bangladesh,Australia,Australia,field,Australia,"Maharashtra Cricket Association Stadium, Pune",18,1,6,1,0,0,1,2,0,1,0,50,2,5
1384433,2023,2023-11-10,ICC Cricket World Cup,South Africa,Afghanistan,Afghanistan,bat,South Africa,"Narendra Modi Stadium, Ahmedabad",2,2,100,1,1,100,1,1,1,0,100,0,4,3
1384432,2023,2023-11-09,ICC Cricket World Cup,Sri Lanka,New Zealand,New Zealand,field,New Zealand,"M Chinnaswamy Stadium, Bengaluru",40,17,42,1,0,0,2,2,0,1,0,50,1,3
1384431,2023,2023-11-08,ICC Cricket World Cup,Netherlands,England,England,bat,England,"Maharashtra Cricket Association Stadium, Pune",6,0,0,1,0,0,1,5,0,1,0,20,2,0
1384430,2023,2023-11-07,ICC Cricket World Cup,Australia,Afghanistan,Afghanistan,bat,Australia,"Wankhede Stadium, Mumbai",4,4,100,1,1,100,1,1,1,0,100,0,5,4
1384429,2023,2023-11-06,ICC Cricket World Cup,Sri Lanka,Bangladesh,Bangladesh,field,Bangladesh,"Arun Jaitley Stadium, Delhi",42,30,71,1,0,0,2,1,0,1,0,100,1,1
1384428,2023,2023-11-05,ICC Cricket World Cup,South Africa,India,India,bat,India,"Eden Gardens, Kolkata",45,22,49,1,0,0,3,5,0,1,0,20,4,5
1384427,2023,2023-11-04,ICC Cricket World Cup,England,Australia,England,field,Australia,"Narendra Modi Stadium, Ahmedabad",78,30,38,1,0,0,1,2,0,1,0,50,3,5
1384426,2023,2023-11-04,ICC Cricket World Cup,Pakistan,New Zealand,Pakistan,field,Pakistan,"M Chinnaswamy Stadium, Bengaluru",43,17,40,1,1,100,2,2,1,0,50,0,1,2
1384425,2023,2023-11-03,ICC Cricket World Cup,Netherlands,Afghanistan,Netherlands,bat,Afghanistan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5,1,20,1,0,0,1,4,0,1,0,25,2,3
1384424,2023,2023-11-02,ICC Cricket World Cup,Sri Lanka,India,Sri Lanka,field,India,"Wankhede Stadium, Mumbai",82,23,28,2,0,0,3,6,0,2,0,33,2,5
1384423,2023,2023-11-01,ICC Cricket World Cup,South Africa,New Zealand,New Zealand,field,South Africa,"Maharashtra Cricket Association Stadium, Pune",31,18,58,1,1,100,1,1,1,0,100,0,4,1
1384422,2023,2023-10-31,ICC Cricket World Cup,Pakistan,Bangladesh,Bangladesh,bat,Pakistan,"Eden Gardens, Kolkata",25,21,84,1,1,100,3,2,1,0,33,0,1,0
1384421,2023,2023-10-30,ICC Cricket World Cup,Sri Lanka,Afghanistan,Afghanistan,field,Afghanistan,"Maharashtra Cricket Association Stadium, Pune",14,10,71,1,0,0,1,1,0,1,0,100,2,2
1384420,2023,2023-10-29,ICC Cricket World Cup,India,England,England,field,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",56,35,62,1,1,100,1,1,1,0,100,0,4,1
1384419,2023,2023-10-28,ICC Cricket World Cup,Netherlands,Bangladesh,Netherlands,bat,Netherlands,"Eden Gardens, Kolkata",2,1,50,1,1,100,2,2,1,0,50,0,1,0
1384418,2023,2023-10-28,ICC Cricket World Cup,New Zealand,Australia,New Zealand,field,Australia,"Himachal Pradesh Cricket Association Stadium, Dharmasala",47,13,28,1,0,0,3,1,0,1,0,100,1,4
1384417,2023,2023-10-27,ICC Cricket World Cup,South Africa,Pakistan,Pakistan,bat,South Africa,"Ma Chidambaram Stadium, Chepauk, Chennai",46,27,59,1,1,100,3,1,1,0,33,0,4,2
1384416,2023,2023-10-26,ICC Cricket World Cup,Sri Lanka,England,England,bat,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",46,26,57,1,1,100,2,3,1,0,50,0,2,1
