match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1471842,2025,CWC Challenge League,ODM,2025-02-16,Tanzania,Singapore,Singapore,field,Tanzania,50,100,50,0,0,0,"Kowloon Cricket Club, Kowloon"
1471841,2025,CWC Challenge League,ODM,2025-02-16,Italy,Hong Kong,Italy,field,Italy,67,100,100,0,4,4,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471840,2025,CWC Challenge League,ODM,2025-02-15,Bahrain,Italy,Bahrain,bat,Italy,0,0,0,50,3,4,"Kowloon Cricket Club, Kowloon"
1471839,2025,CWC Challenge League,ODM,2025-02-15,Uganda,Tanzania,Tanzania,field,Uganda,100,100,50,0,5,0,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471838,2025,CWC Challenge League,ODM,2025-02-13,Uganda,Hong Kong,Hong Kong,field,Uganda,50,100,50,0,5,4,"Kowloon Cricket Club, Kowloon"
1471837,2025,CWC Challenge League,ODM,2025-02-13,Singapore,Bahrain,Bahrain,field,Bahrain,0,0,0,33,0,3,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471834,2025,CWC Challenge League,ODM,2025-02-10,Uganda,Singapore,Uganda,field,Uganda,80,100,50,0,4,0,"Kowloon Cricket Club, Kowloon"
1471833,2025,CWC Challenge League,ODM,2025-02-10,Tanzania,Bahrain,Bahrain,field,Bahrain,0,0,0,33,0,3,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471832,2025,CWC Challenge League,ODM,2025-02-09,Hong Kong,Bahrain,Hong Kong,field,Hong Kong,100,100,100,0,4,2,"Kowloon Cricket Club, Kowloon"
1471831,2025,CWC Challenge League,ODM,2025-02-09,Singapore,Italy,Italy,field,Italy,0,0,0,100,0,4,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471830,2025,CWC Challenge League,ODM,2025-02-07,Tanzania,Italy,Italy,field,Italy,0,0,0,50,0,4,"Kowloon Cricket Club, Kowloon"
1471829,2025,CWC Challenge League,ODM,2025-02-07,Uganda,Bahrain,Bahrain,field,Uganda,100,100,50,0,4,3,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1471828,2025,CWC Challenge League,ODM,2025-02-06,Singapore,Hong Kong,Hong Kong,field,Hong Kong,0,0,0,20,0,4,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
1451906,2024,CWC Challenge League,ODM,2024-11-16,Singapore,Italy,Singapore,bat,Italy,0,0,0,50,0,3,"Lugogo Cricket Oval, Kampala"
1451905,2024,CWC Challenge League,ODM,2024-11-15,Singapore,Hong Kong,Hong Kong,bat,Hong Kong,0,0,0,33,0,3,"Entebbe Cricket Oval, Entebbe"
1451904,2024,CWC Challenge League,ODM,2024-11-15,Tanzania,Bahrain,Bahrain,bat,Bahrain,0,0,0,50,1,4,"Lugogo Cricket Oval, Kampala"
1451903,2024,CWC Challenge League,ODM,2024-11-13,Uganda,Italy,Uganda,bat,Uganda,100,100,50,0,3,2,"Entebbe Cricket Oval, Entebbe"
1451901,2024,CWC Challenge League,ODM,2024-11-12,Tanzania,Hong Kong,Hong Kong,field,Hong Kong,0,0,0,33,1,3,"Entebbe Cricket Oval, Entebbe"
1451899,2024,CWC Challenge League,ODM,2024-11-10,Singapore,Bahrain,Bahrain,field,Bahrain,0,0,0,100,0,3,"Entebbe Cricket Oval, Entebbe"
1451897,2024,CWC Challenge League,ODM,2024-11-09,Italy,Hong Kong,Hong Kong,field,Italy,67,100,100,0,4,3,"Entebbe Cricket Oval, Entebbe"
1451896,2024,CWC Challenge League,ODM,2024-11-09,Uganda,Tanzania,Tanzania,field,Uganda,100,100,16,0,3,0,"Lugogo Cricket Oval, Kampala"
1451895,2024,CWC Challenge League,ODM,2024-11-07,Tanzania,Italy,Tanzania,bat,Italy,0,0,0,50,2,2,"Entebbe Cricket Oval, Entebbe"
1451894,2024,CWC Challenge League,ODM,2024-11-07,Hong Kong,Bahrain,Bahrain,bat,Hong Kong,100,100,100,0,4,3,"Lugogo Cricket Oval, Kampala"
1451893,2024,CWC Challenge League,ODM,2024-11-06,Uganda,Singapore,Singapore,bat,Uganda,80,100,16,0,3,0,"Lugogo Cricket Oval, Kampala"
1451789,2024,CWC Challenge League,ODM,2024-10-05,Jersey,Denmark,Denmark,field,Jersey,33,100,100,0,3,3,"Ruaraka Sports Club Ground, Nairobi"
1451788,2024,CWC Challenge League,ODM,2024-10-05,Papua New Guinea,Kenya,Papua New Guinea,field,Papua New Guinea,100,100,50,0,4,3,"Gymkhana Club Ground, Nairobi"
1451787,2024,CWC Challenge League,ODM,2024-10-04,Kuwait,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,0,0,0,33,3,4,"Ruaraka Sports Club Ground, Nairobi"
1451786,2024,CWC Challenge League,ODM,2024-10-04,Qatar,Kenya,Qatar,bat,Kenya,0,0,0,25,1,3,"Gymkhana Club Ground, Nairobi"
1451785,2024,CWC Challenge League,ODM,2024-10-02,Kuwait,Kenya,Kenya,field,Kuwait,100,100,50,0,3,4,"Ruaraka Sports Club Ground, Nairobi"
1451784,2024,CWC Challenge League,ODM,2024-10-02,Qatar,Denmark,Denmark,field,Denmark,0,0,0,50,2,2,"Gymkhana Club Ground, Nairobi"
1451783,2024,CWC Challenge League,ODM,2024-10-01,Qatar,Papua New Guinea,Qatar,bat,Papua New Guinea,0,0,0,33,2,3,"Ruaraka Sports Club Ground, Nairobi"
1451782,2024,CWC Challenge League,ODM,2024-10-01,Jersey,Kuwait,Kuwait,field,Jersey,100,100,100,0,3,3,"Gymkhana Club Ground, Nairobi"
1451781,2024,CWC Challenge League,ODM,2024-09-29,Kenya,Denmark,Denmark,field,Denmark,0,0,0,50,3,2,"Gymkhana Club Ground, Nairobi"
1451780,2024,CWC Challenge League,ODM,2024-09-28,Qatar,Kuwait,Qatar,field,Kuwait,50,0,0,100,3,3,"Ruaraka Sports Club Ground, Nairobi"
1451779,2024,CWC Challenge League,ODM,2024-09-28,Papua New Guinea,Jersey,Papua New Guinea,bat,Jersey,0,0,0,50,3,3,"Gymkhana Club Ground, Nairobi"
1451778,2024,CWC Challenge League,ODM,2024-09-26,Denmark,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,0,0,0,33,3,2,"Ruaraka Sports Club Ground, Nairobi"
1451777,2024,CWC Challenge League,ODM,2024-09-26,Qatar,Jersey,Qatar,field,Jersey,0,0,0,50,3,3,"Gymkhana Club Ground, Nairobi"
1451776,2024,CWC Challenge League,ODM,2024-09-25,Kenya,Jersey,Kenya,field,Kenya,67,100,100,0,3,3,"Ruaraka Sports Club Ground, Nairobi"
1451775,2024,CWC Challenge League,ODM,2024-09-25,Denmark,Kuwait,Denmark,bat,Kuwait,0,0,0,50,2,4,"Gymkhana Club Ground, Nairobi"
1450703,2024,ICC Men's Cricket World Cup League 2,ODM,2024-10-27,United States Of America,Nepal,United States of America,field,United States Of America,75,100,100,0,3,2,"Grand Prairie Stadium, Dallas"
1429580,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-09-11,Northern Knights,Leinster Lightning,Northern Knights,bat,Leinster Lightning,24,0,0,100,3,3,"Oak Hill Cricket Club, Wicklow"
1429579,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-09-05,North-West Warriors,Munster Reds,North-West Warriors,bat,North-West Warriors,71,50,16,50,0,3,"Bready Cricket Club, Magheramason, Londonderry"
1429578,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-08-29,North-West Warriors,Leinster Lightning,North-West Warriors,bat,Leinster Lightning,0,0,0,27,1,2,"Pembroke Cricket Club, Sandymount, Dublin"
1429577,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-08-22,Northern Knights,Munster Reds,Munster Reds,field,Munster Reds,43,33,33,33,4,3,"Mardyke, Cork"
1429575,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-08-08,Munster Reds,Leinster Lightning,Munster Reds,field,Leinster Lightning,67,50,50,50,3,2,"Mardyke, Cork"
1429574,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-06-05,Northern Knights,Leinster Lightning,Leinster Lightning,bat,Northern Knights,24,20,7,80,3,3,"Civil Service Cricket Club, Stormont, Belfast"
1429573,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-06-05,North-West Warriors,Munster Reds,North-West Warriors,bat,Munster Reds,71,0,0,100,1,4,"Oak Hill Cricket Club, Wicklow"
1429572,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-05-29,Northern Knights,Munster Reds,Munster Reds,field,Northern Knights,43,50,14,50,3,3,"Civil Service Cricket Club, Stormont, Belfast"
1429570,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-05-15,Munster Reds,Leinster Lightning,Munster Reds,field,Munster Reds,67,75,75,9,3,3,"Pembroke Cricket Club, Sandymount, Dublin"
1429569,2024,Cricket Ireland Inter-Provincial Limited Over Cup,Cricket Ireland Inter-Provincial Limited Over Cup,2024-05-09,Northern Knights,North-West Warriors,North-West Warriors,field,Northern Knights,50,20,7,80,3,0,"Civil Service Cricket Club, Stormont, Belfast"
1415156,2024,One-Day Cup,ODM,2024-09-23,Somerset,Glamorgan,Somerset,field,Glamorgan,62,0,0,100,4,4,"Trent Bridge, Nottingham"
1415155,2024,One-Day Cup,ODM,2024-08-18,Warwickshire,Glamorgan,Warwickshire,field,Glamorgan,60,0,0,9,3,4,"Sophia Gardens, Cardiff"
1415154,2024,One-Day Cup,ODM,2024-08-18,Somerset,Leicestershire,Leicestershire,field,Somerset,50,50,7,50,4,4,"The Cooper Associates County Ground, Taunton"
1415153,2024,One-Day Cup,ODM,2024-08-16,Leicestershire,Hampshire,Leicestershire,field,Leicestershire,100,100,7,0,4,3,"Grace Road, Leicester"
1415152,2024,One-Day Cup,ODM,2024-08-16,Worcestershire,Warwickshire,Warwickshire,field,Warwickshire,33,33,33,40,2,3,"Edgbaston Foundation Community Sports Ground, Birmingham"
1415151,2024,One-Day Cup,ODM,2024-08-14,Warwickshire,Nottinghamshire,Nottinghamshire,field,Nottinghamshire,22,0,0,100,3,2,"Rugby School Ground, Rugby"
1415150,2024,One-Day Cup,ODM,2024-08-14,Sussex,Essex,Sussex,bat,Essex,17,0,0,100,1,1,"County Ground, Hove, Brighton"
1415149,2024,One-Day Cup,ODM,2024-08-14,Leicestershire,Gloucestershire,Leicestershire,field,Leicestershire,60,66,66,4,4,4,"County Ground, Bristol"
1415148,2024,One-Day Cup,ODM,2024-08-14,Yorkshire,Glamorgan,Yorkshire,field,Glamorgan,67,66,66,4,3,4,"Sophia Gardens, Cardiff"
1415147,2024,One-Day Cup,ODM,2024-08-14,Middlesex,Hampshire,Middlesex,field,Hampshire,14,0,0,100,3,2,"Merchant Taylors' School Ground, Northwood"
1415146,2024,One-Day Cup,ODM,2024-08-14,Worcestershire,Lancashire,Worcestershire,field,Lancashire,57,25,25,16,3,1,"Old Trafford, Manchester"
1415145,2024,One-Day Cup,ODM,2024-08-14,Northamptonshire,Kent,Kent,bat,Northamptonshire,50,50,50,6,1,2,"St Lawrence Ground, Canterbury"
1415144,2024,One-Day Cup,ODM,2024-08-14,Durham,Derbyshire,Derbyshire,field,Derbyshire,50,75,75,25,3,2,"Riverside Ground, Chester-Le-Street"
1415143,2024,One-Day Cup,ODM,2024-08-11,Yorkshire,Warwickshire,Yorkshire,field,Yorkshire,40,100,100,0,2,3,"Rugby School Ground, Rugby"
1415142,2024,One-Day Cup,ODM,2024-08-11,Sussex,Surrey,Surrey,bat,Sussex,83,100,12,0,0,2,"County Ground, Hove, Brighton"
1415141,2024,One-Day Cup,ODM,2024-08-11,Nottinghamshire,Essex,Essex,field,Essex,75,0,0,100,2,1,"Trent Bridge, Nottingham"
1415140,2024,One-Day Cup,ODM,2024-08-11,Leicestershire,Glamorgan,Glamorgan,field,Leicestershire,100,100,7,0,4,5,"Grace Road, Leicester"
1415139,2024,One-Day Cup,ODM,2024-08-11,Worcestershire,Hampshire,Hampshire,bat,Worcestershire,25,100,2,0,3,3,"County Ground, New Road, Worcester"
1415138,2024,One-Day Cup,ODM,2024-08-11,Northamptonshire,Lancashire,Lancashire,bat,Lancashire,57,66,9,33,1,0,"County Ground, Northampton"
1415137,2024,One-Day Cup,ODM,2024-08-11,Somerset,Middlesex,Somerset,field,Somerset,67,100,66,0,4,3,"Lord'S, London"
1415136,2024,One-Day Cup,ODM,2024-08-11,Kent,Durham,Durham,bat,Durham,33,50,8,50,2,3,"St Lawrence Ground, Canterbury"
1415135,2024,One-Day Cup,ODM,2024-08-09,Nottinghamshire,Gloucestershire,Gloucestershire,field,Gloucestershire,0,0,0,100,3,3,"Trent Bridge, Nottingham"
1415134,2024,One-Day Cup,ODM,2024-08-09,Surrey,Essex,Surrey,bat,Surrey,83,100,100,0,2,1,"County Ground, Chelmsford"
1415133,2024,One-Day Cup,ODM,2024-08-09,Worcestershire,Somerset,Somerset,field,Somerset,0,0,0,22,4,4,"The Cooper Associates County Ground, Taunton"
1415132,2024,One-Day Cup,ODM,2024-08-09,Hampshire,Durham,Hampshire,field,Durham,0,0,0,11,3,3,"Roseworth Terrace, Gosforth"
1415131,2024,One-Day Cup,ODM,2024-08-09,Derbyshire,Kent,Kent,field,Kent,0,0,0,100,2,3,"County Ground, Derby"
1415130,2024,One-Day Cup,ODM,2024-08-08,Yorkshire,Leicestershire,Leicestershire,field,Leicestershire,78,0,0,100,3,4,"North Marine Road Ground, Scarborough"
1415128,2024,One-Day Cup,ODM,2024-08-08,Middlesex,Lancashire,Lancashire,bat,Middlesex,40,100,100,0,3,0,"Old Trafford, Manchester"
1415127,2024,One-Day Cup,ODM,2024-08-07,Sussex,Gloucestershire,Gloucestershire,field,Gloucestershire,14,0,0,4,0,2,"County Ground, Bristol"
1415126,2024,One-Day Cup,ODM,2024-08-07,Worcestershire,Kent,Worcestershire,field,Worcestershire,50,50,5,50,3,2,"County Ground, New Road, Worcester"
1415125,2024,One-Day Cup,ODM,2024-08-07,Somerset,Northamptonshire,Northamptonshire,bat,Somerset,25,25,25,18,3,1,"County Ground, Northampton"
1415124,2024,One-Day Cup,ODM,2024-08-07,Hampshire,Derbyshire,Derbyshire,field,Hampshire,67,100,9,0,2,3,"The Rose Bowl, Southampton"
1415123,2024,One-Day Cup,ODM,2024-08-06,Yorkshire,Essex,Yorkshire,field,Yorkshire,57,50,9,50,2,1,"North Marine Road Ground, Scarborough"
1415122,2024,One-Day Cup,ODM,2024-08-06,Surrey,Leicestershire,Leicestershire,field,Surrey,25,100,100,0,1,4,"Kibworth Cricket Club New Ground, Kibworth"
1415120,2024,One-Day Cup,ODM,2024-08-04,Sussex,Leicestershire,Sussex,field,Leicestershire,50,50,3,50,0,3,"County Ground, Hove, Brighton"
1415119,2024,One-Day Cup,ODM,2024-08-04,Surrey,Nottinghamshire,Surrey,field,Nottinghamshire,50,50,14,50,0,3,"Woodbridge Road, Guildford"
1415118,2024,One-Day Cup,ODM,2024-08-04,Warwickshire,Gloucestershire,Gloucestershire,bat,Warwickshire,100,100,100,0,4,2,"County Ground, Bristol"
1415117,2024,One-Day Cup,ODM,2024-08-04,Glamorgan,Essex,Essex,field,Glamorgan,50,25,25,7,4,1,"County Ground, Chelmsford"
1415116,2024,One-Day Cup,ODM,2024-08-04,Somerset,Derbyshire,Derbyshire,field,Derbyshire,50,50,7,50,3,4,"The Cooper Associates County Ground, Taunton"
1415115,2024,One-Day Cup,ODM,2024-08-04,Worcestershire,Northamptonshire,Worcestershire,field,Northamptonshire,62,75,75,6,4,1,"County Ground, Northampton"
1415114,2024,One-Day Cup,ODM,2024-08-04,Middlesex,Kent,Kent,bat,Middlesex,67,50,50,16,3,2,"Kent County Cricket Ground, Beckenham"
