match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1429574,2024,2024-06-05,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Leinster Lightning,Leinster Lightning,bat,Northern Knights,"Civil Service Cricket Club, Stormont, Belfast",16,4,25,5,1,20,14,5,1,4,7,80,3,3
1429573,2024,2024-06-05,Cricket Ireland Inter-Provincial Limited Over Cup,North-West Warriors,Munster Reds,North-West Warriors,bat,Munster Reds,"Oak Hill Cricket Club, Wicklow",6,4,67,1,0,0,1,1,0,1,0,100,1,3
1429572,2024,2024-05-29,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Munster Reds,Munster Reds,field,Northern Knights,"Civil Service Cricket Club, Stormont, Belfast",6,3,50,4,2,50,14,4,2,2,14,50,3,3
1429570,2024,2024-05-15,Cricket Ireland Inter-Provincial Limited Over Cup,Munster Reds,Leinster Lightning,Munster Reds,field,Munster Reds,"Pembroke Cricket Club, Sandymount, Dublin",5,4,80,4,3,75,4,10,3,1,75,10,3,3
1429569,2024,2024-05-09,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,North-West Warriors,North-West Warriors,field,Northern Knights,"Civil Service Cricket Club, Stormont, Belfast",12,6,50,5,1,20,14,5,1,4,7,80,3,1
1347567,2023,2023-09-16,One-Day Cup,Leicestershire,Hampshire,Leicestershire,bat,Leicestershire,"Trent Bridge, Nottingham",3,3,100,1,1,100,1,1,1,0,100,0,5,5
1375535,2023,2023-09-05,Cricket Ireland Inter-Provincial Limited Over Cup,Northern Knights,Leinster Lightning,Leinster Lightning,bat,Leinster Lightning,"Civil Service Cricket Club, Stormont, Belfast",16,4,25,5,1,20,14,5,1,4,7,80,3,2
1375534,2023,2023-09-04,Cricket Ireland Inter-Provincial Limited Over Cup,North-West Warriors,Munster Reds,North-West Warriors,field,Munster Reds,"Bready Cricket Club, Magheramason, Londonderry",6,4,67,1,0,0,5,1,0,1,0,100,2,3
1347566,2023,2023-08-29,One-Day Cup,Leicestershire,Gloucestershire,Leicestershire,field,Leicestershire,"Grace Road, Leicester",4,2,50,2,1,50,12,2,1,1,8,50,5,5
1347565,2023,2023-08-29,One-Day Cup,Warwickshire,Hampshire,Hampshire,field,Hampshire,"Edgbaston Foundation Community Sports Ground, Birmingham",2,0,0,2,0,0,26,2,0,2,0,100,4,5
