match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1474261,2025,Bahrain tour of Singapore,T20I,2025-03-01,Singapore,Bahrain,Singapore,bat,Bahrain,0,0,0,100,3,4,"Singapore National Cricket Ground, Singapore"
1474260,2025,Bahrain tour of Singapore,T20I,2025-02-28,Singapore,Bahrain,Singapore,field,Bahrain,0,0,0,100,3,4,"Singapore National Cricket Ground, Singapore"
1473147,2025,United States of America tour of Oman,T20I,2025-02-23,United States Of America,Oman,Oman,bat,United States Of America,100,100,100,0,2,1,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
1473146,2025,United States of America tour of Oman,T20I,2025-02-21,United States Of America,Oman,United States of America,field,United States Of America,100,100,100,0,2,1,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
1473145,2025,United States of America in Oman T20I Series,T20I,2025-02-20,United States Of America,Oman,United States of America,field,United States Of America,100,100,100,0,1,2,"Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1), Al Amarat"
1471826,2025,Bahrain tour of Indonesia,T20I,2025-02-24,Indonesia,Bahrain,Indonesia,bat,Bahrain,20,20,9,80,2,3,"Udayana Cricket Ground, Bali"
1471825,2025,Bahrain tour of Indonesia,T20I,2025-02-23,Indonesia,Bahrain,Indonesia,field,Bahrain,20,20,9,80,3,2,"Udayana Cricket Ground, Bali"
1471824,2025,Bahrain tour of Indonesia,T20I,2025-02-22,Indonesia,Bahrain,Indonesia,field,Indonesia,20,20,9,80,3,3,"Udayana Cricket Ground, Bali"
1471823,2025,Bahrain tour of Indonesia,T20I,2025-02-20,Indonesia,Bahrain,Bahrain,field,Bahrain,20,20,9,80,4,3,"Udayana Cricket Ground, Bali"
1471822,2025,Bahrain tour of Indonesia,T20I,2025-02-19,Indonesia,Bahrain,Indonesia,field,Bahrain,20,20,9,80,5,2,"Udayana Cricket Ground, Bali"
1470191,2025,Malta Tri-Nation T20I Series,T20I,2025-02-05,Hungary,Austria,Hungary,field,Hungary,33,50,16,25,2,5,"Marsa Sports Club, Marsa"
1470190,2025,Malta Tri-Nation T20I Series,T20I,2025-02-05,Malta,Austria,Austria,field,Austria,0,0,0,50,0,5,"Marsa Sports Club, Marsa"
1470189,2025,Malta Tri-Nation T20I Series,T20I,2025-02-04,Malta,Hungary,Malta,bat,Hungary,25,33,4,50,1,2,"Marsa Sports Club, Marsa"
1470188,2025,Malta Tri-Nation T20I Series,T20I,2025-02-04,Hungary,Austria,Hungary,bat,Austria,33,50,16,25,2,5,"Marsa Sports Club, Marsa"
1470187,2025,Malta Tri-Nation T20I Series,T20I,2025-02-03,Malta,Austria,Austria,field,Austria,0,0,0,50,1,4,"Marsa Sports Club, Marsa"
1470186,2025,Malta Tri-Nation T20I Series,T20I,2025-02-03,Malta,Hungary,Malta,field,Hungary,25,33,4,50,1,2,"Marsa Sports Club, Marsa"
