match_id,season,event_name,event,match_date,team1,team2,toss_winner,toss_decision,winner,h2h_team1_wins%,h2h_venue_team1_wins%,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins,ground
1438262,2024,Nordic T20 Cup,T20I,2024-06-16,Norway,Finland,Finland,bat,Norway,100,100,0,0,4,1,"Kerava National Cricket Ground, Kerava"
1438074,2024,Jersey tour of Denmark,T20I,2024-06-16,Jersey,Denmark,Denmark,field,Jersey,100,100,0,0,3,0,"Svanholm Park, Brondby"
1438073,2024,Jersey tour of Denmark,T20I,2024-06-16,Jersey,Denmark,Jersey,field,Jersey,100,100,0,0,3,0,"Svanholm Park, Brondby"
1436494,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-16,Italy,Romania,Romania,field,Italy,100,100,0,0,5,4,"Simar Cricket Ground, Rome"
1436493,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-16,Portugal,Isle Of Man,Portugal,bat,Portugal,100,100,0,0,2,2,"Roma Cricket Ground, Spinaceto"
1436492,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-16,France,Austria,Austria,field,Austria,0,0,0,0,3,4,"Simar Cricket Ground, Rome"
1436491,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-16,Luxembourg,Israel,Luxembourg,bat,Israel,0,0,0,0,1,2,"Roma Cricket Ground, Spinaceto"
1415736,2024,ICC Men's T20 World Cup,T20I,2024-06-16,Pakistan,Ireland,Pakistan,field,Pakistan,80,100,0,0,2,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
1410427,2024,Vitality Blast,Vitality Blast,2024-06-16,Yorkshire,Leicestershire,Leicestershire,bat,Leicestershire,43,57,0,0,2,3,"Headingley, Leeds"
1410426,2024,Vitality Blast,Vitality Blast,2024-06-16,Worcestershire,Northamptonshire,Northamptonshire,bat,Northamptonshire,47,37,0,0,1,3,"County Ground, New Road, Worcester"
1410425,2024,Vitality Blast,Vitality Blast,2024-06-16,Somerset,Glamorgan,Glamorgan,field,Somerset,71,66,0,0,4,2,"The Cooper Associates County Ground, Taunton"
1410424,2024,Vitality Blast,Vitality Blast,2024-06-16,Kent,Gloucestershire,Gloucestershire,field,Gloucestershire,32,37,0,0,1,2,"St Lawrence Ground, Canterbury"
1410423,2024,Vitality Blast,Vitality Blast,2024-06-16,Lancashire,Durham,Durham,bat,Durham,62,63,0,0,4,3,"Riverside Ground, Chester-Le-Street"
1410422,2024,Vitality Blast,Vitality Blast,2024-06-16,Derbyshire,Birmingham Bears,Derbyshire,bat,Birmingham Bears,56,40,0,0,2,3,"County Ground, Derby"
1438259,2024,Nordic T20 Cup,T20I,2024-06-15,Norway,Finland,Finland,bat,Norway,100,100,0,0,4,1,"Kerava National Cricket Ground, Kerava"
1436490,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-15,Romania,Israel,Israel,field,Romania,100,100,0,0,4,2,"Simar Cricket Ground, Rome"
1436489,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-15,France,Turkey,Turkey,field,France,100,100,0,0,3,0,"Roma Cricket Ground, Spinaceto"
1436488,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-15,Austria,Hungary,Hungary,field,Austria,100,100,0,0,4,2,"Simar Cricket Ground, Rome"
1436487,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-15,Isle Of Man,Luxembourg,Isle of Man,bat,Isle Of Man,100,100,0,0,2,1,"Roma Cricket Ground, Spinaceto"
1415735,2024,ICC Men's T20 World Cup,T20I,2024-06-15,Scotland,Australia,Australia,field,Australia,0,0,0,0,3,5,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
1415734,2024,ICC Men's T20 World Cup,T20I,2024-06-15,England,Namibia,Namibia,field,England,100,100,0,0,4,2,"Sir Vivian Richards Stadium, North Sound, Antigua"
1410421,2024,Vitality Blast,Vitality Blast,2024-06-15,Sussex,Surrey,Sussex,field,Surrey,29,33,0,0,3,4,"County Ground, Hove, Brighton"
1438257,2024,Nordic T20 Cup,T20I,2024-06-14,Norway,Finland,Finland,field,Norway,100,100,0,0,4,1,"Kerava National Cricket Ground, Kerava"
1415732,2024,ICC Men's T20 World Cup,T20I,2024-06-14,Uganda,New Zealand,New Zealand,field,New Zealand,0,0,0,0,2,2,"Brian Lara Stadium, Tarouba, Trinidad, Tarouba"
1415731,2024,ICC Men's T20 World Cup,T20I,2024-06-14,South Africa,Nepal,Nepal,field,South Africa,100,100,0,0,4,1,"Arnos Vale Ground, Kingstown, St Vincent, Kingstown"
1410419,2024,Vitality Blast,Vitality Blast,2024-06-14,Worcestershire,Nottinghamshire,Nottinghamshire,field,Nottinghamshire,50,14,0,0,1,1,"County Ground, New Road, Worcester"
1410418,2024,Vitality Blast,Vitality Blast,2024-06-14,Yorkshire,Birmingham Bears,Birmingham Bears,field,Birmingham Bears,40,33,0,0,2,3,"Edgbaston Foundation Community Sports Ground, Birmingham"
1410416,2024,Vitality Blast,Vitality Blast,2024-06-14,Somerset,Kent,Kent,field,Somerset,33,44,0,0,4,1,"The Cooper Associates County Ground, Taunton"
1410415,2024,Vitality Blast,Vitality Blast,2024-06-14,Leicestershire,Lancashire,Leicestershire,field,Lancashire,25,14,0,0,3,4,"Grace Road, Leicester"
1410413,2024,Vitality Blast,Vitality Blast,2024-06-14,Sussex,Essex,Sussex,field,Sussex,53,75,0,0,3,3,"County Ground, Chelmsford"
1410412,2024,Vitality Blast,Vitality Blast,2024-06-14,Northamptonshire,Derbyshire,Derbyshire,field,Derbyshire,50,33,0,0,3,2,"County Ground, Derby"
1436486,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-13,Turkey,Italy,Turkey,bat,Italy,0,0,0,0,0,5,"Simar Cricket Ground, Rome"
1436485,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-13,Portugal,Israel,Portugal,bat,Israel,0,0,0,0,2,2,"Roma Cricket Ground, Spinaceto"
1436484,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-13,Luxembourg,France,France,bat,France,25,0,0,0,1,3,"Simar Cricket Ground, Rome"
1436483,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-13,Romania,Hungary,Romania,field,Romania,67,100,0,0,4,2,"Roma Cricket Ground, Spinaceto"
1415729,2024,ICC Men's T20 World Cup,T20I,2024-06-13,Papua New Guinea,Afghanistan,Afghanistan,field,Afghanistan,0,0,0,0,1,5,"Brian Lara Stadium, Tarouba, Trinidad, Tarouba"
1415728,2024,ICC Men's T20 World Cup,T20I,2024-06-13,Oman,England,England,field,England,0,0,0,0,0,4,"Sir Vivian Richards Stadium, North Sound, Antigua"
1415727,2024,ICC Men's T20 World Cup,T20I,2024-06-13,Netherlands,Bangladesh,Netherlands,field,Bangladesh,20,0,0,0,1,3,"Arnos Vale Ground, Kingstown, St Vincent, Kingstown"
1410411,2024,Vitality Blast,Vitality Blast,2024-06-13,Middlesex,Essex,Middlesex,field,Essex,35,30,0,0,1,3,"Lord'S, London"
1436482,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-12,Israel,Hungary,Israel,bat,Hungary,50,0,0,0,2,2,"Simar Cricket Ground, Rome"
1436481,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-12,Luxembourg,Turkey,Turkey,field,Luxembourg,100,100,0,0,1,0,"Roma Cricket Ground, Spinaceto"
1436480,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-12,Portugal,Austria,Portugal,bat,Austria,0,0,0,0,2,4,"Simar Cricket Ground, Rome"
1436479,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-12,Italy,Isle Of Man,Isle of Man,bat,Italy,100,100,0,0,5,2,"Roma Cricket Ground, Spinaceto"
1415726,2024,ICC Men's T20 World Cup,T20I,2024-06-12,West Indies,New Zealand,New Zealand,field,West Indies,41,100,0,0,5,2,"Brian Lara Stadium, Tarouba, Trinidad, Tarouba"
1415725,2024,ICC Men's T20 World Cup,T20I,2024-06-12,United States Of America,India,India,field,India,0,0,0,0,3,5,"Nassau County International Cricket Stadium, New York"
1410409,2024,Vitality Blast,Vitality Blast,2024-06-12,Leicestershire,Durham,Durham,field,Leicestershire,50,54,0,0,3,3,"Riverside Ground, Chester-Le-Street"
1415724,2024,ICC Men's T20 World Cup,T20I,2024-06-11,Namibia,Australia,Australia,field,Australia,0,0,0,0,2,5,"Sir Vivian Richards Stadium, North Sound, Antigua"
1415722,2024,ICC Men's T20 World Cup,T20I,2024-06-11,Canada,Pakistan,Pakistan,field,Pakistan,0,0,0,0,1,2,"Nassau County International Cricket Stadium, New York"
1410408,2024,Vitality Blast,Vitality Blast,2024-06-11,Somerset,Middlesex,Somerset,field,Somerset,67,75,0,0,4,1,"Lord'S, London"
1436478,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-10,France,Italy,Italy,field,Italy,0,0,0,0,3,5,"Simar Cricket Ground, Rome"
1436477,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-10,Portugal,Romania,Portugal,bat,Romania,0,0,0,0,2,4,"Roma Cricket Ground, Spinaceto"
1436476,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-10,Turkey,Isle Of Man,Turkey,field,Isle Of Man,0,0,0,0,0,2,"Simar Cricket Ground, Rome"
1436475,2024,ICC Men's T20 World Cup Sub Regional Europe Qualifier,T20I,2024-06-10,Israel,Austria,Israel,bat,Austria,0,0,0,0,2,4,"Roma Cricket Ground, Spinaceto"
