match_id,season,match_date,event_name,team1,team2,toss_winner,toss_decision,winner,ground,h2h,h2h_team1_wins,h2h_team1_wins%,h2h_venue,h2h_venue_team1_wins,h2h_venue_team1_wins%,team1_venue,team2_venue,team1_venue_wins,team2_venue_wins,team1_venue_wins%,team2_venue_wins%,team1_last_5_wins,team2_last_5_wins
1438080,2024,2024-06-19,Estonia tour of Cyprus,Estonia,Cyprus,Estonia,bat,Estonia,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,3,2
1438079,2024,2024-06-19,Estonia tour of Cyprus,Estonia,Cyprus,Cyprus,field,Cyprus,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,4,1
1438078,2024,2024-06-18,Estonia tour of Cyprus,Estonia,Cyprus,Estonia,bat,Estonia,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,3,1
1438077,2024,2024-06-18,Estonia tour of Cyprus,Estonia,Cyprus,Estonia,field,Cyprus,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,3,1
1438076,2024,2024-06-17,Estonia tour of Cyprus,Estonia,Cyprus,Cyprus,bat,Estonia,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,2,2
1438075,2024,2024-06-17,Estonia tour of Cyprus,Estonia,Cyprus,Cyprus,bat,Estonia,"Happy Valley Ground, Episkopi",9,4,44,9,4,44,9,11,4,5,44,45,1,2
1438262,2024,2024-06-16,Nordic T20 Cup,Norway,Finland,Finland,bat,Norway,"Kerava National Cricket Ground, Kerava",4,4,100,3,3,100,5,8,3,0,60,0,3,1
1438074,2024,2024-06-16,Jersey tour of Denmark,Jersey,Denmark,Denmark,field,Jersey,"Svanholm Park, Brondby",6,6,100,2,2,100,2,11,2,0,100,0,3,1
1438073,2024,2024-06-16,Jersey tour of Denmark,Jersey,Denmark,Jersey,field,Jersey,"Svanholm Park, Brondby",6,6,100,2,2,100,2,11,2,0,100,0,2,1
1436494,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,Italy,Romania,Romania,field,Italy,"Simar Cricket Ground, Rome",1,1,100,1,1,100,1,2,1,0,100,0,5,5
1436493,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,Portugal,Isle Of Man,Portugal,bat,Portugal,"Roma Cricket Ground, Spinaceto",1,1,100,1,1,100,3,3,1,0,33,0,2,2
