,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
0,1436493,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,male,T20,Portugal,Isle of Man,Portugal,bat,Portugal,"Roma Cricket Ground, Spinaceto"
1,1438262,2024,2024-06-16,Nordic T20 Cup,male,T20,Finland,Norway,Finland,bat,Norway,"Kerava National Cricket Ground, Kerava"
4,1438074,2024,2024-06-16,Jersey tour of Denmark,male,T20,Jersey,Denmark,Denmark,field,Jersey,"Svanholm Park, Brondby"
5,1438073,2024,2024-06-16,Jersey tour of Denmark,male,T20,Denmark,Jersey,Jersey,field,Jersey,"Svanholm Park, Brondby"
6,1436494,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,male,T20,Italy,Romania,Romania,field,Italy,"Simar Cricket Ground, Rome"
8,1436492,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,male,T20,France,Austria,Austria,field,Austria,"Simar Cricket Ground, Rome"
9,1436491,2024,2024-06-16,ICC Men's T20 World Cup Sub Regional Europe Qualifier,male,T20,Luxembourg,Israel,Luxembourg,bat,Israel,"Roma Cricket Ground, Spinaceto"
10,1410422,2024,2024-06-16,Vitality Blast,male,T20,Derbyshire,Birmingham Bears,Derbyshire,bat,Birmingham Bears,"County Ground, Derby"
11,1410423,2024,2024-06-16,Vitality Blast,male,T20,Durham,Lancashire,Durham,bat,Durham,"Riverside Ground, Chester-le-Street"
12,1410424,2024,2024-06-16,Vitality Blast,male,T20,Kent,Gloucestershire,Gloucestershire,field,Gloucestershire,"St Lawrence Ground, Canterbury"
13,1410425,2024,2024-06-16,Vitality Blast,male,T20,Somerset,Glamorgan,Glamorgan,field,Somerset,"The Cooper Associates County Ground, Taunton"
14,1410426,2024,2024-06-16,Vitality Blast,male,T20,Northamptonshire,Worcestershire,Northamptonshire,bat,Northamptonshire,"County Ground, New Road, Worcester"
15,1410427,2024,2024-06-16,Vitality Blast,male,T20,Leicestershire,Yorkshire,Leicestershire,bat,Leicestershire,"Headingley, Leeds"
19,1415736,2024,2024-06-16,ICC Men's T20 World Cup,male,T20,Ireland,Pakistan,Pakistan,field,Pakistan,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
20,1410421,2024,2024-06-15,Vitality Blast,male,T20,Surrey,Sussex,Sussex,field,Surrey,"County Ground, Hove, Brighton"
