,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
0,1426620,2024,2024-12-05,India Women tour of Australia,female,ODI,India,Australia,India,bat,Australia,"Allan Border Field, Brisbane"
1,1458414,2024,2024-12-05,Ireland Women tour of Bangladesh,female,T20,Ireland,Bangladesh,Ireland,bat,Ireland,"Sylhet Stadium, Sylhet"
2,1462921,2024,2024-12-05,Africa Continental Cup,male,T20,Uganda,Rwanda,Rwanda,field,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
3,1462919,2024,2024-12-05,Africa Continental Cup,male,T20,Nigeria,Botswana,Botswana,field,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
4,1462853,2024,2024-12-05,Women's T20 Quadrangular Series (in Hong Kong),female,T20,Thailand,Hong Kong,Thailand,bat,Thailand,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
5,1462852,2024,2024-12-05,Women's T20 Quadrangular Series (in Hong Kong),female,T20,China,Namibia,China,bat,Namibia,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
6,1444654,2024,2024-12-05,Pakistan tour of Zimbabwe,male,T20,Pakistan,Zimbabwe,Pakistan,bat,Zimbabwe,"Queens Sports Club, Bulawayo"
7,1463008,2024,2024-12-04,Bahrain Women tour of Qatar,female,T20,Bahrain,Qatar,Bahrain,bat,Qatar,"West End Park International Cricket Stadium, Doha"
8,1462916,2024,2024-12-04,Africa Continental Cup,male,T20,Rwanda,Nigeria,Rwanda,bat,Nigeria,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
9,1462912,2024,2024-12-04,Africa Continental Cup,male,T20,Uganda,Botswana,Botswana,field,Uganda,"Gahanga International Cricket Stadium, Rwanda, Kigali City"
10,1462851,2024,2024-12-04,Women's T20 Quadrangular Series (in Hong Kong),female,T20,Hong Kong,China,China,field,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
11,1462850,2024,2024-12-04,Women's T20 Quadrangular Series (in Hong Kong),female,T20,Namibia,Thailand,Thailand,field,Thailand,"Mission Road Ground, Mong Kok, Hong Kong, Mong Kok"
12,1432228,2024,2024-12-04,England Women tour of South Africa,female,ODI,England,South Africa,England,bat,South Africa,"Diamond Oval, Kimberley"
13,1444653,2024,2024-12-03,Pakistan tour of Zimbabwe,male,T20,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,"Queens Sports Club, Bulawayo"
14,1433379,2024,2024-12-03,Bangladesh tour of West Indies,male,Test,Bangladesh,West Indies,Bangladesh,bat,Bangladesh,"Sabina Park, Kingston, Jamaica"
15,1458413,2024,2024-12-02,Ireland Women tour of Bangladesh,female,ODI,Ireland,Bangladesh,Ireland,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka"
16,1462926,2024,2024-12-02,Bermuda tour of Argentina,male,T20,Bermuda,Argentina,Argentina,field,Bermuda,"Hurlingham Club Ground, Buenos Aires"
17,1452143,2024,2024-12-01,Plunket Shield,male,MDM,Auckland Aces,Canterbury,Auckland Aces,bat,draw,"Eden Park Outer Oval, Auckland"
18,1452144,2024,2024-12-01,Plunket Shield,male,MDM,Otago Volts,Northern Districts,Northern Districts,field,draw,"Seddon Park, Hamilton"
19,1452145,2024,2024-12-01,Plunket Shield,male,MDM,Wellington Firebirds,Central Stags,Wellington Firebirds,bat,Central Stags,"McLean Park, Napier"
20,1444652,2024,2024-12-01,Pakistan tour of Zimbabwe,male,T20,Pakistan,Zimbabwe,Pakistan,bat,Pakistan,"Queens Sports Club, Bulawayo"
21,1428554,2024,2024-12-01,England tour of New Zealand,male,Test,New Zealand,England,England,field,England,"Hagley Oval, Christchurch"
22,1442688,2024,2024-12-01,Women's Big Bash League,female,T20,Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Melbourne Renegades,"Melbourne Cricket Ground, Melbourne"
23,1432227,2024,2024-11-30,England Women tour of South Africa,female,T20,South Africa,England,England,field,England,"SuperSport Park, Centurion"
24,1432209,2024,2024-11-30,Sri Lanka tour of South Africa,male,Test,South Africa,Sri Lanka,Sri Lanka,field,South Africa,"Kingsmead, Durban"
25,1458412,2024,2024-11-30,Ireland Women tour of Bangladesh,female,ODI,Ireland,Bangladesh,Ireland,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka"
26,1442687,2024,2024-11-29,Women's Big Bash League,female,T20,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,"Allan Border Field, Brisbane"
27,1457235,2024,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,male,T20,Bhutan,Cambodia,Cambodia,field,Cambodia,"West End Park International Cricket Stadium, Doha"
28,1457236,2024,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,male,T20,Saudi Arabia,Qatar,Qatar,field,Qatar,"University of Doha for Science and Technology, Doha"
29,1444651,2024,2024-11-28,Pakistan tour of Zimbabwe,male,ODI,Pakistan,Zimbabwe,Pakistan,bat,Pakistan,"Queens Sports Club, Bulawayo"
30,1459377,2024,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Ivory Coast,St Helena,Ivory Coast,bat,St Helena,"Nigeria Cricket Federation Oval 1, Abuja"
31,1459278,2024,2024-11-28,ICC Men's T20 World Cup Asia Qualifier B,male,T20,Bahrain,United Arab Emirates,Bahrain,bat,United Arab Emirates,"University of Doha for Science and Technology, Doha"
32,1459378,2024,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Sierra Leone,Eswatini,Sierra Leone,bat,Sierra Leone,"Nigeria Cricket Federation Oval 2, Abuja"
33,1459379,2024,2024-11-28,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Nigeria,Botswana,Nigeria,bat,Nigeria,"Nigeria Cricket Federation Oval 2, Abuja"
34,1442686,2024,2024-11-27,Women's Big Bash League,female,T20,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,bat,Sydney Thunder,"Drummoyne Oval, Sydney"
35,1444505,2024,2024-11-27,Sheffield Shield,male,MDM,Tasmania,New South Wales,New South Wales,field,Tasmania,"Sydney Cricket Ground, Sydney"
36,1432226,2024,2024-11-27,England Women tour of South Africa,female,T20,England,South Africa,South Africa,field,England,"Willowmoore Park, Benoni"
37,1459385,2024,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Ivory Coast,Eswatini,Ivory Coast,bat,Eswatini,"Nigeria Cricket Federation Oval 2, Abuja"
38,1459384,2024,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,St Helena,Botswana,St Helena,bat,Botswana,"Nigeria Cricket Federation Oval 1, Abuja"
39,1459383,2024,2024-11-27,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Nigeria,Sierra Leone,Sierra Leone,field,Nigeria,"Nigeria Cricket Federation Oval 2, Abuja"
40,1458411,2024,2024-11-27,Ireland Women tour of Bangladesh,female,ODI,Bangladesh,Ireland,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur, Dhaka"
41,1444506,2024,2024-11-27,Sheffield Shield,male,MDM,Victoria,Queensland,Victoria,bat,Victoria,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
42,1433378,2024,2024-11-26,Bangladesh tour of West Indies,male,Test,West Indies,Bangladesh,Bangladesh,field,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua"
43,1459382,2024,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Ivory Coast,Botswana,Botswana,field,Botswana,"Nigeria Cricket Federation Oval 2, Abuja"
44,1444650,2024,2024-11-26,Pakistan tour of Zimbabwe,male,ODI,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,"Queens Sports Club, Bulawayo"
45,1459381,2024,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,Eswatini,Nigeria,Eswatini,bat,Nigeria,"Nigeria Cricket Federation Oval 1, Abuja"
46,1459380,2024,2024-11-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C,male,T20,St Helena,Sierra Leone,Sierra Leone,field,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja"
47,1444504,2024,2024-11-26,Sheffield Shield,male,MDM,Western Australia,South Australia,South Australia,field,draw,"Adelaide Oval, Adelaide"
