balls_per_over,city,dates,event.name,event.match_number,event.group,gender,match_type,match_type_number,officials.match_referees,officials.reserve_umpires,officials.umpires,outcome.winner,outcome.by.wickets,overs,player_of_match,season,team_type,teams,toss.decision,toss.winner,venue,match_id,outcome.by.runs,missing,event.stage,officials.tv_umpires,outcome.by.innings,outcome.result,outcome.method,event.sub_name,bowl_out,outcome.bowl_out,outcome.eliminator,toss.uncontested
6,Spinaceto,['2024-06-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,13.0,B,male,T20,2673.0,['G McCrea'],['MJ Saggers'],"['Adeel Ashiq', 'WPM van Liemt']",Romania,8.0,20.0,['M Koli'],2024,international,"['Hungary', 'Romania']",field,Romania,Roma Cricket Ground,1436483,,,,,,,,,,,,
6,Rome,['2024-06-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,14.0,A,male,T20,2674.0,['G McCrea'],['I McDonald'],"['J Jensen', 'M Jameson']",France,,20.0,['C Roberts'],2024,international,"['France', 'Luxembourg']",bat,France,"Simar Cricket Ground, Rome",1436484,13.0,,,,,,,,,,,
6,Spinaceto,['2024-06-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,15.0,B,male,T20,2675.0,['G McCrea'],['WPM van Liemt'],"['Adeel Ashiq', 'MJ Saggers']",Israel,2.0,20.0,,2024,international,"['Portugal', 'Israel']",bat,Portugal,Roma Cricket Ground,1436485,,['player_of_match'],,,,,,,,,,
6,Rome,['2024-06-13'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,16.0,A,male,T20,2676.0,['G McCrea'],['J Jensen'],"['I McDonald', 'M Jameson']",Italy,9.0,20.0,,2024,international,"['Turkey', 'Italy']",bat,Turkey,"Simar Cricket Ground, Rome",1436486,,['player_of_match'],,,,,,,,,,
6,Spinaceto,['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,17.0,A,male,T20,2683.0,['G McCrea'],['J Jensen'],"['I McDonald', 'M Jameson']",Isle of Man,,20.0,['CJ Langford'],2024,international,"['Isle of Man', 'Luxembourg']",bat,Isle of Man,Roma Cricket Ground,1436487,63.0,,,,,,,,,,,
6,Rome,['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,18.0,B,male,T20,2684.0,['G McCrea'],['Adeel Ashiq'],"['MJ Saggers', 'WPM van Liemt']",Austria,,20.0,['Bilal Zalmai'],2024,international,"['Austria', 'Hungary']",field,Hungary,"Simar Cricket Ground, Rome",1436488,14.0,,,,,,,,,,,
6,Spinaceto,['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,19.0,A,male,T20,2686.0,['G McCrea'],['M Jameson'],"['I McDonald', 'J Jensen']",France,,20.0,['Kamran Ahmadzai'],2024,international,"['France', 'Turkey']",field,Turkey,Roma Cricket Ground,1436489,40.0,,,,,,,,,,,
6,Rome,['2024-06-15'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,20.0,B,male,T20,2687.0,['G McCrea'],['WPM van Liemt'],"['Adeel Ashiq', 'MJ Saggers']",Romania,,20.0,['Taranjeet Singh'],2024,international,"['Romania', 'Israel']",field,Israel,"Simar Cricket Ground, Rome",1436490,24.0,,,,,,,,,,,
6,Spinaceto,['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,,,male,T20,2691.0,['G McCrea'],['J Jensen'],"['I McDonald', 'WPM van Liemt']",Israel,2.0,20.0,['E Solomon'],2024,international,"['Luxembourg', 'Israel']",bat,Luxembourg,Roma Cricket Ground,1436491,,,7th Place Play-Off,,,,,,,,,
6,Rome,['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,,,male,T20,2690.0,['G McCrea'],['MJ Saggers'],"['Adeel Ashiq', 'M Jameson']",Austria,6.0,20.0,['Bilal Zalmai'],2024,international,"['France', 'Austria']",field,Austria,"Simar Cricket Ground, Rome",1436492,,,3rd Place Play-Off,,,,,,,,,
6,Spinaceto,['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,,,male,T20,2695.0,['G McCrea'],['WPM van Liemt'],"['I McDonald', 'J Jensen']",Portugal,,20.0,['Amandeep Singh'],2024,international,"['Portugal', 'Isle of Man']",bat,Portugal,Roma Cricket Ground,1436493,88.0,,5th Place Play-Off,,,,,,,,,
6,Rome,['2024-06-16'],ICC Men's T20 World Cup Sub Regional Europe Qualifier,,,male,T20,2696.0,['G McCrea'],['Adeel Ashiq'],"['M Jameson', 'MJ Saggers']",Italy,,20.0,['JA Burns'],2024,international,"['Italy', 'Romania']",field,Romania,"Simar Cricket Ground, Rome",1436494,160.0,,Final,,,,,,,,,
6,Hambantota,['2024-06-15'],West Indies Women tour of Sri Lanka,1.0,,female,ODI,1387.0,['V Bowen'],['LE Hannibal'],"['LDVV Silva', 'Lauren Agenbag']",Sri Lanka,6.0,50.0,,2024,international,"['West Indies', 'Sri Lanka']",field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",1436886,,,,['RSA Palliyaguruge'],,,,,,,,
6,Hambantota,['2024-06-18'],West Indies Women tour of Sri Lanka,2.0,,female,ODI,1389.0,['V Bowen'],['LDVV Silva'],"['Lauren Agenbag', 'LE Hannibal']",Sri Lanka,5.0,50.0,,2024,international,"['West Indies', 'Sri Lanka']",bat,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",1436887,,,,['RSA Palliyaguruge'],,,,,,,,
6,Brondby,['2024-06-16'],Jersey tour of Denmark,2.0,,male,T20,2692.0,,,"['A Krengel', 'Atif Jamal']",Jersey,6.0,20.0,['AM Tribe'],2024,international,"['Denmark', 'Jersey']",field,Jersey,"Svanholm Park, Brondby",1438073,,,,,,,,,,,,
6,Brondby,['2024-06-16'],Jersey tour of Denmark,3.0,,male,T20,2694.0,,,"['Atif Jamal', 'Munib Haq']",Jersey,,20.0,['AM Tribe'],2024,international,"['Jersey', 'Denmark']",field,Denmark,"Svanholm Park, Brondby",1438074,96.0,,,,,,,,,,,
6,Episkopi,['2024-06-17'],Estonia tour of Cyprus,1.0,,male,T20,2700.0,,,"['SJ Ross', 'Tom Smith']",Estonia,5.0,20.0,['S Gooch'],2024,international,"['Cyprus', 'Estonia']",bat,Cyprus,Happy Valley Ground,1438075,,,,,,,,,,,,
6,Episkopi,['2024-06-17'],Estonia tour of Cyprus,2.0,,male,T20,2701.0,,,"['Nilkesh Patel', 'P Burdekin']",Estonia,6.0,20.0,['Sahil Chauhan'],2024,international,"['Cyprus', 'Estonia']",bat,Cyprus,Happy Valley Ground,1438076,,,,,,,,,,,,
6,Episkopi,['2024-06-18'],Estonia tour of Cyprus,3.0,,male,T20,2704.0,,,"['Nilkesh Patel', 'P Burdekin']",Cyprus,,20.0,['S Burdekin'],2024,international,"['Cyprus', 'Estonia']",field,Estonia,Happy Valley Ground,1438077,12.0,,,,,,,,,,,
6,Episkopi,['2024-06-18'],Estonia tour of Cyprus,4.0,,male,T20,2705.0,,,"['S Tennakoon', 'Windy Miller']",Estonia,,20.0,['Sahil Chauhan'],2024,international,"['Estonia', 'Cyprus']",bat,Estonia,Happy Valley Ground,1438078,26.0,,,,,,,,,,,
6,Episkopi,['2024-06-19'],Estonia tour of Cyprus,5.0,,male,T20,2706.0,,,"['P Burdekin', 'Tom Smith']",Cyprus,4.0,20.0,['R Siriwardena'],2024,international,"['Estonia', 'Cyprus']",field,Cyprus,Happy Valley Ground,1438079,,,,,,,,,,,,
