,match_id,season,match_date,event_name,gender,match_type,team1,team2,toss_winner,toss_decision,winner,ground
0,1441133,2024,2024-06-28,Twenty20 Quadrangular (in Kenya),male,T20,Malawi,Rwanda,Malawi,bat,Malawi,"Sikh Union Club Ground, Nairobi"
1,1436891,2024,2024-06-28,West Indies Women tour of Sri Lanka,female,T20,Sri Lanka,West Indies,West Indies,field,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
2,1415754,2024,2024-06-27,ICC Men's T20 World Cup,male,T20,India,England,England,field,India,"Providence Stadium, Guyana, Providence"
3,1410229,2024,2024-06-26,County Championship,male,MDM,Kent,Lancashire,Lancashire,field,Lancashire,"St Lawrence Ground, Canterbury"
4,1410293,2024,2024-06-26,County Championship,male,MDM,Sussex,Leicestershire,Leicestershire,field,Sussex,"County Ground, Hove, Brighton"
5,1410292,2024,2024-06-26,County Championship,male,MDM,Middlesex,Derbyshire,Middlesex,bat,Middlesex,"Lord's, London"
6,1410291,2024,2024-06-26,County Championship,male,MDM,Northamptonshire,Glamorgan,Northamptonshire,bat,draw,"Sophia Gardens, Cardiff"
7,1436890,2024,2024-06-26,West Indies Women tour of Sri Lanka,female,T20,Sri Lanka,West Indies,West Indies,field,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
8,1398274,2024,2024-06-26,New Zealand Women tour of England,female,ODI,New Zealand,England,New Zealand,bat,England,"Riverside Ground, Chester-le-Street"
9,1410228,2024,2024-06-26,County Championship,male,MDM,Durham,Essex,Durham,bat,draw,"County Ground, Chelmsford"
10,1410230,2024,2024-06-26,County Championship,male,MDM,Nottinghamshire,Somerset,Nottinghamshire,bat,draw,"Trent Bridge, Nottingham"
11,1410231,2024,2024-06-26,County Championship,male,MDM,Hampshire,Warwickshire,Hampshire,bat,draw,"Edgbaston Foundation Community Sports Ground, Birmingham"
12,1410232,2024,2024-06-26,County Championship,male,MDM,Surrey,Worcestershire,Worcestershire,field,Surrey,"County Ground, New Road, Worcester"
13,1410294,2024,2024-06-26,County Championship,male,MDM,Yorkshire,Gloucestershire,Gloucestershire,field,Yorkshire,"North Marine Road Ground, Scarborough"
14,1415753,2024,2024-06-26,ICC Men's T20 World Cup,male,T20,Afghanistan,South Africa,Afghanistan,bat,South Africa,"Brian Lara Stadium, Tarouba, Trinidad, Tarouba"
15,1436889,2024,2024-06-24,West Indies Women tour of Sri Lanka,female,T20,West Indies,Sri Lanka,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
16,1415752,2024,2024-06-24,ICC Men's T20 World Cup,male,T20,Afghanistan,Bangladesh,Afghanistan,bat,Afghanistan,"Arnos Vale Ground, Kingstown, St Vincent, Kingstown"
17,1415751,2024,2024-06-24,ICC Men's T20 World Cup,male,T20,India,Australia,Australia,field,India,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
18,1415749,2024,2024-06-23,ICC Men's T20 World Cup,male,T20,United States of America,England,England,field,England,"Kensington Oval, Barbados, Bridgetown"
19,1415750,2024,2024-06-23,ICC Men's T20 World Cup,male,T20,West Indies,South Africa,South Africa,field,South Africa,"Sir Vivian Richards Stadium, North Sound, Antigua"
20,1434289,2024,2024-06-23,South Africa Women tour of India,female,ODI,South Africa,India,South Africa,bat,India,"M Chinnaswamy Stadium, Bengaluru"
21,1440131,2024,2024-06-23,Jersey tour of Guernsey,male,T20,Jersey,Guernsey,Guernsey,field,Guernsey,"Guernsey Rovers Athletic Club Ground, Port Soif, Port  Soif"
22,1410550,2024,2024-06-22,Charlotte Edwards Cup,female,T20,South East Stars,The Blaze,The Blaze,field,The Blaze,"County Ground, Derby"
23,1410549,2024,2024-06-22,Charlotte Edwards Cup,female,T20,South East Stars,Southern Vipers,Southern Vipers,field,South East Stars,"County Ground, Derby"
24,1410548,2024,2024-06-22,Charlotte Edwards Cup,female,T20,Central Sparks,The Blaze,The Blaze,field,The Blaze,"County Ground, Derby"
25,1415748,2024,2024-06-22,ICC Men's T20 World Cup,male,T20,Afghanistan,Australia,Australia,field,Afghanistan,"Arnos Vale Ground, Kingstown, St Vincent, Kingstown"
26,1440129,2024,2024-06-22,Jersey tour of Guernsey,male,T20,Guernsey,Jersey,Jersey,field,Jersey,"King George V Sports Ground, Castel"
27,1440130,2024,2024-06-22,Jersey tour of Guernsey,male,T20,Guernsey,Jersey,Jersey,field,Jersey,"King George V Sports Ground, Castel"
28,1415747,2024,2024-06-22,ICC Men's T20 World Cup,male,T20,India,Bangladesh,Bangladesh,field,India,"Sir Vivian Richards Stadium, North Sound, Antigua"
29,1436888,2024,2024-06-21,West Indies Women tour of Sri Lanka,female,ODI,Sri Lanka,West Indies,West Indies,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
30,1415746,2024,2024-06-21,ICC Men's T20 World Cup,male,T20,United States of America,West Indies,West Indies,field,West Indies,"Kensington Oval, Barbados, Bridgetown"
31,1415745,2024,2024-06-21,ICC Men's T20 World Cup,male,T20,South Africa,England,England,field,South Africa,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
32,1410435,2024,2024-06-21,Vitality Blast,male,T20,Somerset,Gloucestershire,Gloucestershire,field,Gloucestershire,"County Ground, Bristol"
33,1410434,2024,2024-06-21,Vitality Blast,male,T20,Durham,Yorkshire,Durham,bat,Durham,"Riverside Ground, Chester-le-Street"
34,1410441,2024,2024-06-21,Vitality Blast,male,T20,Worcestershire,Birmingham Bears,Birmingham Bears,field,Birmingham Bears,"County Ground, New Road, Worcester"
35,1410436,2024,2024-06-21,Vitality Blast,male,T20,Sussex,Hampshire,Hampshire,field,Sussex,"The Rose Bowl, Southampton"
36,1410437,2024,2024-06-21,Vitality Blast,male,T20,Kent,Essex,Essex,field,Essex,"St Lawrence Ground, Canterbury"
37,1410440,2024,2024-06-21,Vitality Blast,male,T20,Glamorgan,Surrey,Glamorgan,bat,Surrey,"Kennington Oval, London"
38,1410438,2024,2024-06-21,Vitality Blast,male,T20,Northamptonshire,Leicestershire,Northamptonshire,bat,tie,"County Ground, Northampton"
39,1410439,2024,2024-06-21,Vitality Blast,male,T20,Nottinghamshire,Derbyshire,Nottinghamshire,bat,Nottinghamshire,"Trent Bridge, Nottingham"
40,1410428,2024,2024-06-20,Vitality Blast,male,T20,Hampshire,Essex,Essex,field,Essex,"County Ground, Chelmsford"
41,1415744,2024,2024-06-20,ICC Men's T20 World Cup,male,T20,Bangladesh,Australia,Australia,field,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua"
42,1410433,2024,2024-06-20,Vitality Blast,male,T20,Yorkshire,Lancashire,Yorkshire,bat,Yorkshire,"Headingley, Leeds"
43,1410432,2024,2024-06-20,Vitality Blast,male,T20,Birmingham Bears,Northamptonshire,Birmingham Bears,bat,Birmingham Bears,"Edgbaston Foundation Community Sports Ground, Birmingham"
44,1410431,2024,2024-06-20,Vitality Blast,male,T20,Sussex,Kent,Kent,field,Sussex,"County Ground, Hove, Brighton"
45,1410430,2024,2024-06-20,Vitality Blast,male,T20,Surrey,Middlesex,Middlesex,field,Surrey,"Lord's, London"
46,1415743,2024,2024-06-20,ICC Men's T20 World Cup,male,T20,India,Afghanistan,India,bat,India,"Kensington Oval, Barbados, Bridgetown"
47,1410429,2024,2024-06-20,Vitality Blast,male,T20,Glamorgan,Gloucestershire,Glamorgan,bat,Gloucestershire,"Sophia Gardens, Cardiff"
48,1434288,2024,2024-06-19,South Africa Women tour of India,female,ODI,India,South Africa,South Africa,field,India,"M Chinnaswamy Stadium, Bengaluru"
49,1410547,2024,2024-06-19,Charlotte Edwards Cup,female,T20,Southern Vipers,South East Stars,South East Stars,field,Southern Vipers,"Royal Brunswick Ground, Hove, Brighton"
50,1410546,2024,2024-06-19,Charlotte Edwards Cup,female,T20,Central Sparks,The Blaze,Central Sparks,bat,The Blaze,"Edgbaston Foundation Community Sports Ground, Birmingham"
51,1410545,2024,2024-06-19,Charlotte Edwards Cup,female,T20,Thunder,Northern Diamonds,Northern Diamonds,field,Northern Diamonds,"Riverside Ground, Chester-le-Street"
52,1410544,2024,2024-06-19,Charlotte Edwards Cup,female,T20,Western Storm,Sunrisers,Western Storm,bat,Western Storm,"County Ground, Chelmsford"
53,1415742,2024,2024-06-19,ICC Men's T20 World Cup,male,T20,West Indies,England,England,field,England,"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia"
54,1415741,2024,2024-06-19,ICC Men's T20 World Cup,male,T20,South Africa,United States of America,United States of America,field,South Africa,"Sir Vivian Richards Stadium, North Sound, Antigua"
55,1438101,2024,2024-06-19,Estonia Women tour of Cyprus,female,T20,Cyprus,Estonia,Estonia,field,Cyprus,"Happy Valley Ground, Episkopi"
56,1438079,2024,2024-06-19,Estonia tour of Cyprus,male,T20,Estonia,Cyprus,Cyprus,field,Cyprus,"Happy Valley Ground, Episkopi"
57,1438080,2024,2024-06-19,Estonia tour of Cyprus,male,T20,Estonia,Cyprus,Estonia,bat,Estonia,"Happy Valley Ground, Episkopi"
58,1438105,2024,2024-06-19,Hong Kong Women tour of Netherlands,female,T20,Netherlands,Hong Kong,Netherlands,bat,Netherlands,"Sportpark Maarschalkerweerd, Utrecht"
