,team
0,"""Durbans Super Giants"""
1,Abu Dhabi Knight Riders
2,Adelaide Strikers
3,Africa XI
4,Andhra
5,Antigua Hawksbills
6,Antigua and Barbuda Falcons
7,Argentina
8,Arunachal Pradesh
9,Asia XI
10,Assam
11,Auckland
12,Auckland Aces
13,Australia
14,Austria
15,B-Love Kandy
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Barbados Royals
21,Barbados Tridents
22,Barisal Bulls
23,Barisal Burners
24,Barmy Army
25,Baroda
26,Belgium
27,Belize
28,Bengal
29,Bermuda
30,Bhutan
31,Bihar
32,Birmingham Bears
33,Birmingham Phoenix
34,Boland
35,Botswana
36,Brazil
37,Brisbane Heat
38,Bulgaria
39,Cambodia
40,Cameroon
41,Canada
42,Canterbury
43,Cape Cobras
44,Cape Town Blitz
45,Cayman Islands
46,Central Districts
47,Central Sparks
48,Central Stags
49,Chandigarh
50,Chattogram Challengers
51,Chennai Super Kings
52,Chhattisgarh
53,Chile
54,China
55,Chittagong Kings
56,Chittagong Vikings
57,Colombo Kings
58,Colombo Stars
59,Colombo Strikers
60,Comilla Victorians
61,Cook Islands
62,Costa Rica
63,Croatia
64,Cumilla Warriors
65,Cyprus
66,Czech Republic
67,Dambulla Aura
68,Dambulla Giants
69,Dambulla Sixers
70,Dambulla Viiking
71,Deccan Chargers
72,Delhi
73,Delhi Capitals
74,Delhi Daredevils
75,Denmark
76,Derbyshire
77,Desert Vipers
78,Dhaka Dominators
79,Dhaka Dynamites
80,Dhaka Gladiators
81,Dhaka Platoon
82,Dolphins
83,Dubai Capitals
84,Durban Heat
85,Durdanto Dhaka
86,Durham
87,Duronto Rajshahi
88,England
89,Essex
90,Estonia
91,Eswatini
92,Falcons
93,Fiji
94,Finland
95,Fortune Barishal
96,France
97,Galle Gladiators
98,Galle Marvels
99,Galle Titans
100,Gambia
101,Germany
102,Ghana
103,Gibraltar
104,Glamorgan
105,Gloucestershire
106,Goa
107,Greece
108,Guernsey
109,Gujarat
110,Gujarat Giants
111,Gujarat Lions
112,Gujarat Titans
113,Gulf Giants
114,Guyana
115,Guyana Amazon Warriors
116,Hampshire
117,Haryana
118,Himachal
119,Himachal Pradesh
120,Hobart Hurricanes
121,Hong Kong
122,Hungary
123,Hyderabad (India)
124,ICC World XI
125,Impi
126,India
127,Indonesia
128,Iran
129,Ireland
130,Islamabad United
131,Isle of Man
132,Israel
133,Italy
134,Ivory Coast
135,Jaffna Kings
136,Jaffna Stallions
137,Jamaica
138,Jamaica Tallawahs
139,Jammu & Kashmir
140,Japan
141,Jersey
142,Jharkhand
143,Joburg Super Kings
144,Jozi Stars
145,Kandy Falcons
146,Kandy Tuskers
147,Kandy Warriors
148,Karachi Kings
149,Karnataka
150,Kent
151,Kenya
152,Kerala
153,Khulna Royal Bengals
154,Khulna Tigers
155,Khulna Titans
156,Kings XI Punjab
157,Knights
158,Kochi Tuskers Kerala
159,Kolkata Knight Riders
160,Kuwait
161,KwaZulu-Natal Inland
162,Lahore Qalandars
163,Lancashire
164,Lancashire Thunder
165,Leeward Islands
166,Leicestershire
167,Leinster Lightning
168,Lesotho
169,Lightning
170,Lions
171,London Spirit
172,Los Angeles Knight Riders
173,Loughborough Lightning
174,Lucknow Super Giants
175,Luxembourg
176,MI Cape Town
177,MI Emirates
178,MI New York
179,Madhya Pradesh
180,Maharashtra
181,Malawi
182,Malaysia
183,Maldives
184,Mali
185,Malta
186,Manchester Originals
187,Manipur
188,Meghalaya
189,Melbourne Renegades
190,Melbourne Stars
191,Mexico
192,Middlesex
193,Minister Group Dhaka
194,Mizoram
195,Mongolia
196,Mozambique
197,Multan Sultans
198,Mumbai
199,Mumbai Indians
200,Munster Reds
201,Myanmar
202,Nagaland
203,Namibia
204,Nelson Mandela Bay Giants
205,Nepal
206,Netherlands
207,New South Wales
208,New Zealand
209,Nigeria
210,North West
211,North-West Warriors
212,Northamptonshire
213,Northern Diamonds
214,Northern Districts
215,Northern Knights
216,Northern Superchargers
217,Norway
218,Nottinghamshire
219,Odisha
220,Oman
221,Otago
222,Otago Volts
223,Oval Invincibles
224,Paarl Rocks
225,Paarl Royals
226,Pakistan
227,Panama
228,Papua New Guinea
229,Perth Scorchers
230,Peshawar Zalmi
231,Philippines
232,Portugal
233,Pretoria Capitals
234,Puducherry
235,Pune Warriors
236,Punjab
237,Punjab Kings
238,Qatar
239,Queensland
240,Quetta Gladiators
241,Railways
242,Rajasthan
243,Rajasthan Royals
244,Rajshahi Kings
245,Rajshahi Royals
246,Rangpur Rangers
247,Rangpur Riders
248,Rising Pune Supergiant
249,Rising Pune Supergiants
250,Romania
251,Royal Challengers Bangalore
252,Royal Challengers Bengaluru
253,Rwanda
254,Samoa
255,San Francisco Unicorns
256,Sapphires
257,Saudi Arabia
258,Saurashtra
259,Scotland
260,Seattle Orcas
261,Serbia
262,Services
263,Seychelles
264,Sharjah Warriors
265,Sierra Leone
266,Sikkim
267,Singapore
268,Slovenia
269,Somerset
270,South Africa
271,South Australia
272,South East Stars
273,South Korea
274,Southern Brave
275,Southern Vipers
276,Spain
277,Spirit
278,Sri Lanka
279,St Helena
280,St Kitts and Nevis Patriots
281,St Lucia Kings
282,St Lucia Stars
283,St Lucia Zouks
284,Sunrisers
285,Sunrisers Eastern Cape
286,Sunrisers Hyderabad
287,Supernovas
288,Suriname
289,Surrey
290,Surrey Stars
291,Sussex
292,Swaziland
293,Sweden
294,Switzerland
295,Sydney Sixers
296,Sydney Thunder
297,Sylhet Royals
298,Sylhet Sixers
299,Sylhet Strikers
300,Sylhet Sunrisers
301,Sylhet Super Stars
302,Sylhet Thunder
303,Tamil Nadu
304,Tanzania
305,Tasmania
306,Texas Super Kings
307,Thailand
308,The Blaze
309,Thunder
310,Titans
311,Tornadoes
312,Trailblazers
313,Trent Rockets
314,Trinbago Knight Riders
315,Trinidad & Tobago Red Steel
316,Trinidad and Tobago
317,Tripura
318,Tshwane Spartans
319,Turkey
320,UP Warriorz
321,Uganda
322,United Arab Emirates
323,United States of America
324,Uttar Pradesh
325,Uttarakhand
326,Vanuatu
327,Velocity
328,Victoria
329,Vidarbha
330,Warriors
331,Warriors (FairBreak)
332,Warwickshire
333,Washington Freedom
334,Wellington
335,Wellington Firebirds
336,Welsh Fire
337,West Indies
338,Western Australia
339,Western Province
340,Western Storm
341,Windward Islands
342,Worcestershire
343,Yorkshire
344,Yorkshire Diamonds
345,Zambia
346,Zimbabwe
